timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,64.09,5.31,102.02,833,3073,2.49,2.22,2.60,1.22,1
500,64.21,5.44,102.03,821,2978,2.48,2.22,2.60,1.22,1
1000,64.10,5.48,102.03,803,2935,2.48,2.21,2.60,1.23,1
1500,64.31,5.56,102.03,803,2891,2.47,2.21,2.59,1.23,1
2000,64.62,5.58,102.03,782,2814,2.47,2.20,2.59,1.23,1
2500,64.68,5.57,102.03,776,2743,2.47,2.19,2.58,1.22,1
3000,64.82,5.59,102.03,774,2706,2.46,2.19,2.58,1.23,1
3500,65.28,5.58,102.02,790,2688,2.46,2.18,2.57,1.24,1
4000,65.53,5.56,102.03,802,2731,2.46,2.18,2.57,1.24,1
4500,65.34,5.52,102.03,818,2757,2.45,2.18,2.57,1.24,1
5000,65.20,5.50,102.03,829,2766,2.45,2.17,2.56,1.24,1
5500,64.92,5.51,102.03,841,2808,2.45,2.17,2.56,1.24,1
6000,64.86,5.54,102.03,844,2780,2.45,2.17,2.56,1.25,1
6500,64.94,5.59,102.03,859,2828,2.45,2.16,2.55,1.26,1
7000,64.90,5.61,102.03,883,2831,2.44,2.16,2.55,1.26,1
7500,65.08,5.64,102.03,911,2849,2.44,2.15,2.55,1.26,1
8000,65.18,5.65,102.03,862,2826,2.44,2.15,2.55,1.26,1
8500,65.00,5.62,102.03,842,2748,2.44,2.15,2.54,1.25,1
9000,64.92,5.61,102.03,844,2754,2.43,2.15,2.54,1.25,1
9500,64.75,5.61,102.03,874,2778,2.43,2.14,2.54,1.33,1
10000,64.50,5.62,102.03,944,2840,2.43,2.14,2.54,1.37,1
10500,64.05,5.66,102.03,896,2805,2.43,2.13,2.53,1.34,1
11000,64.14,5.74,102.03,900,2796,2.42,2.13,2.53,1.37,1
11500,64.36,5.81,102.03,975,2835,2.42,2.13,2.53,1.41,1
12000,64.45,5.81,102.04,1054,2888,2.42,2.12,2.53,1.44,2
12500,64.47,5.80,102.03,1041,2909,2.42,2.12,2.52,1.46,2
13000,64.73,5.81,102.03,1131,2939,2.42,2.12,2.52,1.55,2
13500,64.92,5.77,102.03,1112,2992,2.42,2.11,2.52,1.54,2
14000,64.43,5.74,102.04,974,2886,2.42,2.11,2.52,1.43,2
14500,64.42,5.74,102.03,1207,2992,2.42,2.11,2.52,1.59,2
15000,64.74,5.76,102.03,1202,3050,2.42,2.11,2.52,1.66,2
15500,64.68,5.75,102.03,1123,3018,2.42,2.10,2.52,1.64,2
16000,64.88,5.75,102.03,1217,3048,2.42,2.10,2.52,1.79,2
16500,64.82,5.67,102.04,1197,2983,2.42,2.10,2.52,1.70,2
17000,64.34,5.66,102.04,1065,2928,2.42,2.09,2.51,1.63,2
17500,64.06,5.68,102.03,1106,2888,2.42,2.08,2.51,1.63,2
18000,64.06,5.73,102.03,1432,3138,2.42,2.08,2.51,1.72,2
18500,64.32,5.76,102.03,1460,3454,2.42,2.08,2.51,1.76,2
19000,64.59,5.78,102.03,1423,3409,2.41,2.08,2.51,1.77,2
19500,64.80,5.74,102.03,1465,3524,2.42,2.08,2.51,1.77,2
20000,65.10,5.74,102.04,1615,3745,2.42,2.07,2.51,1.83,2
20500,65.40,5.68,102.03,1677,3926,2.42,2.08,2.51,1.94,2
21000,65.70,5.64,102.03,1825,4317,2.43,2.07,2.51,1.98,2
21500,65.96,5.60,102.03,2052,4793,2.43,2.07,2.51,2.07,2
22000,66.13,5.55,102.03,1871,4673,2.43,2.07,2.51,1.97,2
22500,66.07,5.50,102.03,1868,4738,2.43,2.07,2.51,1.98,2
23000,66.21,5.47,102.03,2061,5059,2.43,2.07,2.52,2.07,2
23500,65.98,5.44,102.04,2197,5204,2.43,2.07,2.52,1.98,2
24000,65.94,5.45,102.03,2619,5691,2.44,2.07,2.52,2.03,2
24500,66.04,5.47,102.03,2290,5465,2.44,2.07,2.52,1.99,2
25000,66.07,5.46,102.03,2066,5395,2.44,2.06,2.51,1.96,2
25500,66.39,5.48,102.03,2614,5786,2.44,2.07,2.52,2.10,2
26000,66.49,5.46,102.03,3068,6102,2.45,2.07,2.52,2.20,2
26500,66.58,5.48,102.03,3431,6553,2.45,2.06,2.53,2.25,2
27000,66.47,5.44,102.03,3242,6569,2.45,2.06,2.53,2.09,2
27500,66.38,5.45,102.03,3478,6834,2.45,2.06,2.53,2.15,2
28000,66.63,5.47,102.03,2990,6478,2.45,2.06,2.52,2.08,2
28500,66.69,5.45,102.03,3161,6503,2.45,2.06,2.53,2.14,2
29000,66.88,5.46,102.03,4123,7813,2.46,2.07,2.53,2.34,2
29500,66.84,5.48,102.03,4550,8849,2.46,2.07,2.54,2.30,2
30000,66.86,5.49,102.03,4405,9051,2.47,2.06,2.54,2.25,2
30500,66.76,5.46,102.03,4062,8364,2.46,2.06,2.54,2.25,2
31000,66.86,5.48,102.03,3495,7385,2.47,2.06,2.54,2.37,2
31500,67.31,5.50,102.03,2749,6659,2.46,2.06,2.54,2.22,2
32000,67.41,5.43,102.03,2048,5967,2.46,2.06,2.53,2.04,2
32500,67.20,5.36,102.03,1883,5480,2.45,2.05,2.53,1.96,2
33000,66.78,5.34,102.04,1975,5550,2.45,2.05,2.52,1.97,2
33500,66.97,5.40,102.03,2339,5856,2.45,2.05,2.52,2.04,2
34000,67.55,5.47,102.03,3134,6428,2.46,2.05,2.53,2.30,2
34500,67.85,5.46,102.03,2977,6528,2.45,2.05,2.53,2.20,2
35000,67.65,5.39,102.03,3051,6589,2.45,2.05,2.53,2.16,2
35500,67.65,5.39,102.03,3417,6889,2.46,2.05,2.53,2.18,2
36000,67.55,5.39,102.04,3976,7700,2.46,2.06,2.53,2.27,2
36500,67.78,5.48,102.03,5371,9772,2.47,2.06,2.54,2.50,2
37000,68.19,5.55,102.03,5012,10132,2.48,2.06,2.55,2.48,2
37500,68.13,5.51,102.03,4410,9164,2.48,2.06,2.55,2.37,2
38000,67.82,5.44,102.03,4322,8950,2.47,2.06,2.55,2.31,2
38500,68.08,5.49,102.03,7068,11426,2.49,2.06,2.56,2.50,2
39000,68.27,5.53,102.03,8690,13644,2.50,2.07,2.56,2.53,2
39500,68.45,5.54,102.03,8035,13239,2.50,2.07,2.57,2.50,2
40000,68.66,5.53,102.03,7983,13351,2.50,2.07,2.57,2.49,2
40500,68.69,5.51,102.03,7346,12957,2.50,2.07,2.57,2.48,2
41000,68.61,5.50,102.03,7937,13306,2.50,2.07,2.57,2.43,2
41500,68.94,5.51,102.02,8244,13711,2.51,2.07,2.58,2.48,2
42000,69.06,5.47,102.03,7983,13700,2.50,2.07,2.57,2.41,2
42500,69.06,5.43,102.03,7358,13171,2.50,2.07,2.57,2.34,2
