timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,34.85,23.96,101.92,400,0,2.39,1.69,2.44,1.17,1.09,1
500,35.17,24.01,101.92,400,0,2.40,1.68,2.44,1.17,1.09,1
1000,35.35,24.07,101.92,400,0,2.40,1.68,2.44,1.17,1.08,1
1500,35.41,24.05,101.92,400,0,2.39,1.68,2.44,1.17,1.08,1
2000,35.54,24.04,101.92,400,0,2.39,1.68,2.44,1.17,1.08,1
2500,35.60,24.03,101.92,400,0,2.39,1.68,2.44,1.17,1.08,1
3000,35.58,23.99,101.91,400,0,2.39,1.68,2.43,1.18,1.08,1
3500,35.41,23.95,101.92,400,0,2.39,1.68,2.43,1.22,1.09,1
4000,35.38,23.90,101.92,400,0,2.39,1.68,2.43,1.21,1.08,1
4500,35.24,23.89,101.92,400,0,2.39,1.68,2.43,1.19,1.09,1
5000,35.11,23.90,101.92,400,0,2.39,1.68,2.43,1.19,1.09,1
5500,35.06,23.93,101.92,400,0,2.39,1.67,2.43,1.18,1.09,1
6000,35.05,23.96,101.92,400,0,2.39,1.67,2.43,1.18,1.09,1
6500,35.10,24.02,101.92,400,0,2.39,1.67,2.43,1.20,1.08,1
7000,35.27,24.09,101.92,400,0,2.39,1.67,2.43,1.22,1.09,1
7500,35.41,24.13,101.92,400,0,2.39,1.68,2.43,1.24,1.10,1
8000,35.57,24.16,101.92,400,0,2.39,1.67,2.43,1.25,1.10,1
8500,35.74,24.13,101.92,400,0,2.39,1.67,2.43,1.24,1.10,1
9000,35.59,24.08,101.92,400,0,2.39,1.67,2.43,1.22,1.09,1
9500,35.33,24.04,101.92,400,0,2.39,1.67,2.43,1.20,1.09,1
10000,35.16,23.99,101.92,400,0,2.39,1.67,2.43,1.20,1.09,1
10500,35.16,24.01,101.92,400,0,2.38,1.67,2.43,1.20,1.10,1
11000,35.39,24.06,101.92,400,0,2.39,1.67,2.43,1.24,1.12,2
11500,35.65,24.09,101.92,400,0,2.39,1.67,2.43,1.27,1.12,2
12000,36.07,24.10,101.92,400,0,2.39,1.67,2.43,1.34,1.14,2
12500,36.42,24.03,101.92,400,0,2.39,1.67,2.43,1.43,1.15,2
13000,36.69,23.94,101.92,400,0,2.39,1.67,2.43,1.40,1.16,2
13500,36.95,23.80,101.92,400,0,2.39,1.67,2.43,1.38,1.17,2
14000,37.08,23.62,101.92,400,0,2.39,1.67,2.43,1.37,1.17,2
14500,37.25,23.45,101.92,400,0,2.39,1.68,2.43,1.35,1.18,2
15000,37.59,23.28,101.92,400,0,2.39,1.68,2.43,1.32,1.17,2
15500,37.89,23.10,101.92,400,0,2.39,1.68,2.43,1.32,1.17,2
16000,37.94,22.87,101.92,400,0,2.39,1.68,2.43,1.30,1.17,2
16500,37.84,22.63,101.92,400,0,2.39,1.68,2.43,1.27,1.18,2
17000,38.03,22.48,101.92,400,0,2.39,1.68,2.43,1.28,1.19,2
17500,38.16,22.32,101.92,400,0,2.39,1.68,2.43,1.27,1.18,2
18000,38.24,22.16,101.92,400,0,2.39,1.68,2.43,1.25,1.17,2
18500,38.44,22.02,101.92,400,0,2.39,1.68,2.43,1.26,1.18,2
19000,38.64,21.89,101.92,400,0,2.39,1.68,2.43,1.28,1.18,2
19500,38.81,21.73,101.92,400,0,2.39,1.68,2.43,1.29,1.19,2
20000,38.98,21.57,101.92,400,0,2.39,1.68,2.43,1.30,1.21,2
20500,39.25,21.43,101.92,400,0,2.39,1.68,2.43,1.33,1.22,2
21000,39.41,21.27,101.92,400,0,2.39,1.68,2.43,1.34,1.22,2
21500,39.59,21.10,101.92,400,0,2.39,1.68,2.43,1.35,1.22,2
22000,39.92,20.95,101.92,400,0,2.39,1.68,2.43,1.35,1.24,2
22500,40.33,20.80,101.92,400,0,2.39,1.68,2.43,1.36,1.26,2
23000,40.54,20.58,101.92,400,0,2.39,1.68,2.43,1.35,1.26,2
23500,40.80,20.38,101.92,400,0,2.39,1.68,2.43,1.35,1.29,2
24000,41.06,20.17,101.92,400,0,2.39,1.68,2.43,1.33,1.30,2
24500,41.46,19.96,101.93,400,10,2.40,1.68,2.43,1.36,1.31,2
25000,41.61,19.72,101.93,400,14,2.40,1.68,2.43,1.34,1.32,2
25500,41.75,19.49,101.93,400,20,2.40,1.68,2.43,1.34,1.34,2
26000,42.08,19.29,101.92,400,25,2.39,1.68,2.44,1.35,1.33,2
26500,42.33,19.08,101.92,400,28,2.39,1.68,2.44,1.37,1.33,2
27000,42.61,18.86,101.92,400,33,2.40,1.69,2.44,1.39,1.34,2
27500,43.01,18.65,101.92,400,46,2.40,1.69,2.44,1.40,1.34,2
28000,43.36,18.43,101.92,400,61,2.40,1.69,2.44,1.41,1.35,2
28500,43.47,18.19,101.92,400,72,2.40,1.69,2.43,1.41,1.37,2
29000,43.81,17.98,101.92,400,76,2.40,1.69,2.44,1.41,1.37,2
