timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,59.56,6.43,102.25,630,1030,2.62,2.10,2.67,1.32,1
500,59.97,6.57,102.24,700,1098,2.61,2.09,2.67,1.37,1
1000,60.32,6.63,102.25,700,1123,2.61,2.09,2.66,1.36,1
1500,60.37,6.66,102.25,706,1136,2.61,2.08,2.66,1.34,1
2000,60.20,6.66,102.25,932,1305,2.60,2.08,2.66,1.53,1
2500,60.22,6.69,102.25,1120,1499,2.61,2.07,2.66,1.56,1
3000,59.82,6.71,102.25,1067,1600,2.60,2.07,2.66,1.52,1
3500,60.00,6.80,102.25,989,1575,2.60,2.06,2.65,1.49,1
4000,60.05,6.84,102.25,906,1570,2.59,2.06,2.65,1.47,1
4500,60.26,6.86,102.25,1975,2415,2.60,2.06,2.66,1.94,1
5000,60.24,6.87,102.25,2268,2925,2.61,2.06,2.66,2.05,1
5500,59.96,6.86,102.25,1764,2784,2.60,2.05,2.66,1.82,1
6000,59.12,6.85,102.25,1173,2272,2.60,2.04,2.65,1.55,1
6500,58.69,6.90,102.26,1007,2027,2.59,2.03,2.65,1.60,1
7000,58.49,6.99,102.25,913,1866,2.59,2.03,2.65,1.77,1
7500,58.53,7.10,102.25,931,1803,2.59,2.03,2.65,1.87,1
8000,58.26,7.16,102.26,803,1609,2.58,2.02,2.64,1.69,1
8500,57.50,7.17,102.26,700,1331,2.57,2.01,2.63,1.48,1
9000,56.78,7.22,102.25,643,1251,2.57,1.99,2.63,1.39,1
9500,56.21,7.32,102.25,619,1160,2.56,1.99,2.62,1.42,2
10000,55.69,7.43,102.26,578,1106,2.55,1.98,2.61,1.37,2
10500,55.21,7.59,102.25,557,1023,2.55,1.97,2.61,1.32,2
11000,54.77,7.71,102.25,701,1083,2.54,1.96,2.60,1.51,2
11500,54.76,7.93,102.25,925,1298,2.55,1.96,2.61,1.88,2
12000,54.85,8.11,102.25,844,1279,2.55,1.95,2.61,1.88,2
12500,54.48,8.18,102.26,713,1195,2.54,1.95,2.60,1.61,2
13000,53.88,8.27,102.26,633,1100,2.53,1.94,2.60,1.45,2
13500,53.35,8.36,102.26,577,1023,2.53,1.93,2.59,1.36,2
14000,52.87,8.47,102.26,546,941,2.52,1.92,2.58,1.32,2
14500,52.54,8.61,102.25,641,975,2.52,1.92,2.58,1.52,2
15000,52.60,8.81,102.25,831,1122,2.52,1.92,2.58,1.75,2
15500,52.79,9.00,102.25,857,1203,2.52,1.91,2.59,1.88,2
16000,52.70,9.14,102.25,834,1227,2.53,1.91,2.58,1.88,2
16500,52.52,9.25,102.25,1033,1311,2.53,1.91,2.59,1.91,2
17000,52.51,9.40,102.25,978,1392,2.53,1.90,2.59,1.94,2
17500,52.47,9.52,102.25,1138,1536,2.53,1.90,2.59,1.97,2
18000,52.81,9.70,102.25,1695,2090,2.54,1.91,2.60,2.22,2
18500,53.22,9.81,102.25,3910,3835,2.55,1.90,2.60,2.20,2
19000,53.79,9.91,102.25,4293,5079,2.56,1.91,2.62,2.36,2
19500,54.07,9.95,102.25,4359,5581,2.57,1.92,2.62,2.36,2
20000,54.22,9.95,102.25,3912,5455,2.57,1.91,2.62,2.25,2
20500,54.37,9.92,102.25,3608,5345,2.58,1.91,2.62,2.29,2
21000,54.43,9.88,102.25,7288,7306,2.58,1.91,2.63,2.30,2
21500,54.43,9.80,102.25,9680,10526,2.58,1.91,2.63,2.30,2
22000,54.32,9.71,102.26,8140,9918,2.57,1.90,2.62,2.08,2
22500,54.07,9.63,102.25,9269,10593,2.58,1.90,2.62,2.14,2
23000,54.40,9.68,102.25,13586,14094,2.59,1.91,2.63,2.40,2
23500,54.77,9.77,102.25,11765,13542,2.60,1.92,2.64,2.49,2
24000,55.41,9.84,102.25,17473,15546,2.62,1.93,2.65,2.65,2
24500,56.11,9.94,102.25,20285,17579,2.62,1.93,2.66,2.65,2
25000,56.70,9.97,102.25,27494,28594,2.64,1.95,2.68,2.75,2
25500,56.95,9.91,102.25,20243,20925,2.64,1.95,2.68,2.64,2
26000,57.28,9.83,102.25,22008,21308,2.64,1.95,2.68,2.60,2
26500,57.64,9.76,102.25,24365,24446,2.65,1.96,2.69,2.62,2
27000,57.96,9.73,102.25,19761,20019,2.66,1.96,2.70,2.68,2
27500,58.52,9.75,102.25,11261,14060,2.66,1.96,2.70,2.71,2
28000,58.76,9.59,102.26,9084,12147,2.65,1.95,2.70,2.53,2
28500,57.92,9.19,102.26,4521,8117,2.62,1.93,2.67,2.20,2
29000,56.92,8.84,102.26,4300,7040,2.60,1.91,2.66,2.03,2
29500,56.42,8.68,102.26,7995,10166,2.60,1.91,2.65,2.22,2
30000,56.59,8.75,102.25,6362,9985,2.61,1.91,2.66,2.43,2
