timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,41.25,18.00,101.92,400,0,2.04,1.35,2.05,1.18,1.16,1
500,41.45,18.05,101.93,400,0,2.04,1.34,2.05,1.18,1.15,1
1000,41.53,18.08,101.92,400,0,2.03,1.34,2.05,1.19,1.15,1
1500,41.71,18.09,101.92,400,0,2.03,1.34,2.04,1.19,1.15,1
2000,41.96,18.12,101.92,400,0,2.03,1.34,2.04,1.19,1.15,1
2500,42.25,18.11,101.92,400,0,2.03,1.34,2.04,1.18,1.15,1
3000,42.44,18.07,101.92,400,0,2.03,1.34,2.04,1.18,1.15,1
3500,42.58,18.03,101.92,400,0,2.03,1.34,2.04,1.18,1.14,1
4000,42.64,17.96,101.92,400,0,2.03,1.34,2.04,1.20,1.19,1
4500,42.48,17.90,101.92,510,0,2.04,1.34,2.05,1.49,1.24,1
5000,42.33,17.89,101.92,630,29,2.05,1.34,2.05,1.52,1.26,1
5500,42.26,17.88,101.92,665,70,2.05,1.34,2.06,1.47,1.26,1
6000,42.36,17.90,101.92,656,91,2.05,1.34,2.06,1.42,1.25,1
6500,42.40,17.88,101.92,643,103,2.05,1.34,2.06,1.38,1.25,1
7000,42.36,17.90,101.92,575,101,2.05,1.34,2.06,1.36,1.27,1
7500,42.30,17.89,101.92,599,111,2.05,1.34,2.06,1.37,1.31,1
8000,42.27,17.87,101.92,659,129,2.05,1.34,2.06,1.38,1.32,2
8500,42.39,17.93,101.92,725,159,2.05,1.34,2.06,1.45,1.35,2
9000,42.57,17.95,101.92,822,204,2.06,1.36,2.07,1.51,1.36,2
9500,42.70,17.97,101.92,960,259,2.06,1.37,2.08,1.51,1.38,2
10000,42.75,17.95,101.92,1024,330,2.07,1.38,2.09,1.52,1.38,2
10500,42.67,17.92,101.92,1031,376,2.07,1.39,2.09,1.54,1.41,2
11000,42.52,17.88,101.92,1100,430,2.08,1.39,2.09,1.49,1.41,2
11500,42.78,17.92,101.92,1028,450,2.08,1.39,2.10,1.53,1.40,2
12000,43.21,17.91,101.92,1140,509,2.08,1.39,2.10,1.67,1.42,2
12500,43.35,17.86,101.92,1085,506,2.09,1.39,2.11,1.61,1.43,2
13000,43.31,17.75,101.92,1115,512,2.08,1.38,2.10,1.54,1.47,2
13500,43.44,17.69,101.92,1405,630,2.09,1.38,2.10,1.61,1.44,2
14000,43.54,17.62,101.92,1577,753,2.09,1.38,2.11,1.61,1.44,2
14500,43.59,17.54,101.92,1694,873,2.09,1.38,2.11,1.60,1.46,2
15000,43.82,17.48,101.92,1937,1094,2.10,1.38,2.12,1.66,1.46,2
15500,44.13,17.43,101.92,1813,1123,2.10,1.39,2.12,1.72,1.44,2
16000,44.31,17.34,101.93,1629,1094,2.10,1.38,2.12,1.62,1.46,2
16500,44.34,17.23,101.93,1717,1124,2.10,1.38,2.12,1.66,1.50,2
17000,44.45,17.15,101.93,1755,1184,2.11,1.38,2.13,1.75,1.51,2
17500,44.64,17.06,101.92,1763,1217,2.11,1.38,2.13,1.68,1.50,2
18000,44.58,16.97,101.93,1390,1099,2.10,1.38,2.12,1.58,1.49,2
18500,44.53,16.90,101.92,1111,933,2.10,1.37,2.12,1.57,1.51,2
19000,44.53,16.82,101.92,1061,854,2.10,1.37,2.12,1.55,1.55,2
19500,44.42,16.75,101.93,999,805,2.09,1.37,2.11,1.49,1.56,2
20000,44.34,16.70,101.92,851,713,2.09,1.37,2.11,1.51,1.55,2
20500,44.26,16.69,101.92,968,694,2.09,1.36,2.11,1.49,1.56,2
21000,44.13,16.66,101.93,924,671,2.09,1.36,2.11,1.49,1.58,2
21500,44.19,16.69,101.93,884,647,2.09,1.36,2.11,1.55,1.58,2
22000,44.17,16.71,101.92,795,551,2.09,1.36,2.11,1.48,1.58,2
22500,44.10,16.72,101.92,788,538,2.09,1.36,2.10,1.49,1.58,2
23000,44.05,16.75,101.92,737,506,2.09,1.36,2.10,1.46,1.60,2
23500,44.07,16.77,101.93,778,488,2.09,1.35,2.10,1.54,1.60,2
24000,44.10,16.81,101.92,746,480,2.09,1.35,2.10,1.51,1.60,2
24500,44.14,16.84,101.93,686,434,2.09,1.35,2.10,1.49,1.58,2
25000,44.06,16.87,101.92,693,415,2.08,1.35,2.10,1.50,1.58,2
25500,43.95,16.87,101.93,652,377,2.08,1.35,2.09,1.45,1.58,2
26000,44.21,16.93,101.92,710,388,2.08,1.35,2.10,1.53,1.58,2
26500,44.70,17.01,101.92,807,432,2.09,1.35,2.10,1.60,1.65,2
27000,45.11,17.06,101.93,1405,564,2.10,1.36,2.11,1.75,1.72,2
27500,45.64,17.10,101.92,1690,785,2.11,1.37,2.12,1.94,1.74,2
28000,46.26,17.14,101.92,2021,1049,2.12,1.38,2.13,1.95,1.78,2
28500,46.60,17.13,101.92,3225,1478,2.13,1.39,2.14,1.99,1.82,2
29000,46.89,17.01,101.92,3299,1861,2.14,1.39,2.15,2.01,1.83,2
29500,47.19,16.93,101.92,3402,2133,2.14,1.39,2.16,2.01,1.83,2
30000,47.62,16.82,101.92,3272,2187,2.15,1.39,2.16,1.96,1.86,2
30500,47.78,16.66,101.92,3795,2443,2.15,1.40,2.16,1.95,1.87,2
31000,47.89,16.53,101.92,3974,2630,2.15,1.40,2.17,2.01,1.91,2
31500,48.19,16.45,101.92,3760,2678,2.16,1.41,2.18,2.00,1.94,2
32000,48.56,16.35,101.93,3331,2554,2.16,1.41,2.18,2.00,1.97,2
