timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,34.60,22.64,102.27,1372,1903,2.18,1.30,2.22,1.70,1
500,34.84,22.75,102.26,782,1199,2.17,1.30,2.20,1.44,1
1000,34.95,22.80,102.26,723,1034,2.18,1.29,2.20,1.59,1
1500,35.00,22.80,102.27,534,804,2.17,1.29,2.19,1.50,1
2000,34.99,22.80,102.27,400,602,2.16,1.28,2.19,1.39,1
2500,34.93,22.80,102.26,400,479,2.16,1.28,2.18,1.28,1
3000,34.79,22.76,102.27,400,372,2.15,1.28,2.16,1.17,1
3500,34.66,22.77,102.27,400,273,2.14,1.28,2.15,1.10,1
4000,34.53,22.77,102.27,400,230,2.13,1.27,2.15,1.06,1
4500,34.43,22.78,102.27,400,184,2.13,1.27,2.14,1.05,1
5000,34.33,22.77,102.27,400,163,2.12,1.27,2.13,1.05,1
5500,34.22,22.84,102.27,400,133,2.12,1.26,2.13,1.06,1
6000,34.12,22.89,102.28,400,106,2.12,1.26,2.12,1.05,1
6500,34.00,22.96,102.27,400,114,2.11,1.26,2.12,1.06,1
7000,33.93,23.02,102.27,400,216,2.12,1.26,2.12,1.25,1
7500,33.91,23.13,102.27,783,523,2.12,1.26,2.14,1.53,1
8000,34.05,23.25,102.27,732,614,2.14,1.27,2.16,1.86,1
8500,34.17,23.37,102.27,657,620,2.14,1.27,2.18,2.07,1
9000,34.09,23.45,102.27,693,702,2.15,1.27,2.19,2.02,1
9500,34.09,23.52,102.27,529,588,2.15,1.27,2.19,1.72,1
10000,34.13,23.58,102.27,411,488,2.14,1.27,2.19,1.69,1
10500,34.06,23.66,102.27,400,434,2.15,1.27,2.19,1.71,1
11000,33.98,23.69,102.27,407,426,2.16,1.27,2.19,1.76,1
11500,34.01,23.79,102.27,607,549,2.18,1.28,2.22,2.15,1
12000,33.89,23.89,102.27,698,699,2.18,1.27,2.22,1.90,1
12500,33.74,23.92,102.27,640,654,2.17,1.27,2.21,1.60,1
13000,33.64,23.97,102.27,855,901,2.17,1.26,2.20,1.60,1
13500,33.73,24.06,102.27,2044,1794,2.20,1.27,2.22,2.10,1
14000,33.86,24.17,102.27,2818,2496,2.21,1.28,2.24,2.19,1
14500,33.85,24.24,102.27,3652,3078,2.24,1.28,2.26,2.34,1
15000,33.83,24.28,102.27,3380,3138,2.25,1.29,2.28,2.32,1
15500,33.73,24.34,102.27,2089,2611,2.25,1.29,2.28,2.05,1
16000,33.68,24.39,102.27,2487,2734,2.26,1.29,2.28,2.08,1
16500,33.75,24.47,102.27,2036,2551,2.27,1.29,2.29,2.30,1
17000,33.90,24.57,102.27,2806,2821,2.28,1.29,2.32,2.45,1
17500,34.02,24.64,102.27,3522,3595,2.29,1.30,2.33,2.43,1
18000,34.13,24.69,102.27,1892,2547,2.28,1.29,2.33,2.22,1
18500,34.10,24.70,102.27,1665,2205,2.29,1.29,2.33,2.24,1
19000,34.03,24.67,102.27,2045,2487,2.29,1.29,2.33,2.30,1
19500,34.05,24.66,102.27,2096,2676,2.29,1.29,2.33,2.20,1
20000,34.06,24.66,102.28,2479,2801,2.28,1.29,2.32,1.95,1
20500,34.01,24.63,102.27,2676,2960,2.28,1.29,2.32,1.93,1
21000,34.02,24.62,102.27,3078,3188,2.28,1.29,2.32,2.05,1
21500,33.98,24.61,102.27,1389,2163,2.27,1.28,2.31,2.00,1
22000,33.89,24.60,102.27,705,1263,2.25,1.27,2.29,1.70,1
22500,33.70,24.56,102.28,465,936,2.24,1.27,2.27,1.46,1
23000,33.60,24.53,102.27,400,686,2.23,1.26,2.26,1.34,1
23500,33.65,24.55,102.27,400,588,2.22,1.25,2.25,1.39,1
24000,33.67,24.57,102.27,400,495,2.21,1.25,2.24,1.32,1
24500,33.64,24.57,102.27,400,399,2.20,1.25,2.22,1.25,1
25000,33.50,24.56,102.27,400,328,2.19,1.25,2.21,1.21,1
25500,33.35,24.58,102.27,400,256,2.18,1.24,2.20,1.19,1
26000,33.23,24.59,102.27,400,221,2.17,1.25,2.19,1.17,1
26500,33.17,24.64,102.27,400,209,2.17,1.24,2.18,1.22,1
27000,33.17,24.68,102.27,400,242,2.16,1.24,2.18,1.27,1
27500,33.21,24.77,102.27,484,431,2.16,1.24,2.18,1.32,1
28000,33.27,24.84,102.27,755,639,2.17,1.24,2.19,1.61,2
