timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,24.70,51.54,101.94,400,0,1.54,0.87,1.47,1.18,1.12,1
500,25.13,51.58,101.94,544,0,1.55,0.87,1.48,1.39,1.15,1
1000,25.31,51.54,101.94,705,0,1.56,0.88,1.51,1.55,1.17,1
1500,25.41,51.47,101.94,840,0,1.58,0.88,1.53,1.67,1.21,1
2000,25.49,51.43,101.95,1207,0,1.60,0.89,1.55,1.77,1.22,1
2500,25.54,51.40,101.94,1394,0,1.61,0.90,1.57,1.70,1.24,1
3000,25.59,51.37,101.94,1378,38,1.61,0.89,1.58,1.69,1.25,1
3500,25.64,51.37,101.94,1430,93,1.63,0.90,1.60,1.75,1.27,1
4000,25.69,51.41,101.94,1429,144,1.63,0.90,1.60,1.63,1.27,1
4500,25.76,51.51,101.94,1117,146,1.64,0.90,1.60,1.61,1.27,1
5000,25.81,51.63,101.94,1075,146,1.65,0.90,1.61,1.63,1.29,1
5500,25.88,51.76,101.94,983,146,1.65,0.90,1.62,1.60,1.27,1
6000,25.93,51.89,101.94,798,124,1.65,0.90,1.62,1.53,1.26,1
6500,25.96,52.04,101.94,692,95,1.65,0.90,1.62,1.48,1.25,1
7000,26.00,52.16,101.94,630,66,1.64,0.90,1.61,1.45,1.27,1
7500,26.03,52.24,101.94,580,30,1.64,0.90,1.61,1.41,1.28,1
8000,26.07,52.33,101.95,568,9,1.64,0.90,1.61,1.39,1.30,1
8500,26.11,52.42,101.95,536,0,1.64,0.90,1.60,1.38,1.28,1
9000,26.13,52.56,101.95,494,0,1.63,0.90,1.60,1.33,1.28,1
9500,26.16,52.63,101.95,450,0,1.63,0.90,1.59,1.30,1.26,1
10000,26.17,52.61,101.95,426,0,1.62,0.90,1.59,1.29,1.24,1
10500,26.20,52.54,101.95,410,0,1.62,0.89,1.58,1.26,1.23,1
11000,26.20,52.44,101.94,400,0,1.61,0.89,1.57,1.25,1.22,1
11500,26.20,52.27,101.94,400,0,1.61,0.89,1.57,1.23,1.21,1
12000,26.19,52.06,101.94,400,0,1.60,0.89,1.57,1.21,1.21,1
12500,26.18,51.83,101.94,400,0,1.60,0.89,1.56,1.21,1.21,1
13000,26.20,51.56,101.94,400,0,1.60,0.89,1.56,1.24,1.28,1
13500,26.20,51.33,101.94,419,0,1.61,0.89,1.56,1.30,1.33,1
14000,26.20,51.10,101.94,413,0,1.60,0.89,1.56,1.26,1.31,1
14500,26.20,50.91,101.94,400,0,1.60,0.89,1.55,1.24,1.30,1
15000,26.20,50.70,101.94,400,0,1.60,0.89,1.55,1.22,1.28,1
15506,26.20,50.49,101.94,400,0,1.60,0.88,1.55,1.20,1.26,2
16006,26.21,50.31,101.95,400,0,1.59,0.89,1.55,1.19,1.25,2
16506,26.21,50.12,101.94,400,0,1.59,0.89,1.55,1.18,1.24,2
17006,26.22,49.92,101.94,400,0,1.59,0.88,1.54,1.19,1.28,2
17506,26.25,49.79,101.95,400,0,1.59,0.89,1.54,1.23,1.33,2
