timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,51.38,9.31,101.43,400,979,1.95,1.56,2.00,1.21,1.02,1
500,51.44,9.34,101.43,400,1094,1.95,1.56,2.00,1.19,1.01,1
1000,51.11,9.36,101.43,400,1169,1.95,1.56,2.00,1.17,1.00,1
1500,50.78,9.40,101.43,400,1215,1.96,1.56,2.00,1.11,0.99,1
2000,50.62,9.48,101.43,400,1236,1.96,1.55,2.00,1.08,0.98,1
2500,50.44,9.57,101.43,400,1183,1.95,1.55,2.00,1.05,0.97,1
3000,50.39,9.68,101.43,400,1156,1.95,1.55,1.99,1.04,0.97,1
3500,50.19,9.76,101.43,400,1131,1.95,1.55,1.99,1.04,0.97,1
4000,50.04,9.84,101.43,400,1085,1.95,1.55,1.99,1.03,0.96,1
4500,49.79,9.91,101.43,400,1048,1.95,1.55,1.99,1.03,0.97,1
5000,49.63,10.00,101.43,400,1035,1.95,1.55,1.99,1.04,0.97,1
5500,49.56,10.10,101.42,400,1043,1.95,1.55,1.99,1.08,1.00,1
6000,49.53,10.15,101.42,400,1320,1.96,1.55,2.00,1.57,1.07,1
6500,49.46,10.17,101.43,431,2565,1.98,1.55,2.03,1.78,1.11,1
7000,49.46,10.17,101.43,400,2870,1.99,1.55,2.04,1.67,1.13,1
7500,49.45,10.21,101.42,400,3163,2.00,1.56,2.05,1.57,1.12,1
8000,49.28,10.27,101.42,400,3103,2.00,1.55,2.05,1.42,1.11,1
8500,49.05,10.32,101.43,400,2967,1.99,1.55,2.04,1.33,1.12,1
9000,48.82,10.41,101.43,400,2808,1.99,1.55,2.04,1.29,1.11,2
9500,48.63,10.47,101.42,400,2567,1.99,1.55,2.03,1.24,1.10,2
10000,48.43,10.57,101.43,400,2441,1.98,1.54,2.03,1.21,1.11,2
10500,48.24,10.64,101.43,400,2427,1.99,1.54,2.03,1.35,1.14,2
11000,48.37,10.73,101.43,400,2445,1.99,1.54,2.03,1.43,1.17,2
11500,48.36,10.80,101.43,400,2348,1.99,1.54,2.03,1.37,1.16,2
12000,48.09,10.87,101.43,400,2281,1.99,1.54,2.03,1.35,1.15,2
12500,47.79,10.91,101.43,400,2078,1.99,1.54,2.03,1.28,1.18,2
13000,47.58,11.00,101.43,400,2173,1.99,1.54,2.03,1.33,1.23,2
