timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,25.13,46.96,101.50,420,0,1.38,0.96,1.28,0.59,0.64,1
500,25.55,47.01,101.50,412,0,1.38,0.96,1.28,0.61,0.64,1
1000,25.73,46.95,101.50,453,8,1.38,0.96,1.28,0.67,0.65,1
1500,25.82,46.85,101.50,467,23,1.39,0.96,1.29,0.71,0.65,1
2000,25.88,46.75,101.50,488,36,1.39,0.96,1.30,0.75,0.65,1
2500,25.92,46.62,101.50,578,67,1.39,0.97,1.30,0.81,0.70,1
3000,25.96,46.49,101.50,1054,228,1.41,0.97,1.32,0.87,0.67,1
3500,25.99,46.35,101.50,1131,415,1.41,0.97,1.33,0.89,0.73,1
4000,26.01,46.24,101.50,857,473,1.42,0.97,1.33,0.87,0.73,1
4500,26.05,46.12,101.50,771,478,1.42,0.97,1.34,0.87,0.73,2
5000,26.08,46.04,101.50,718,493,1.42,0.97,1.34,0.89,0.73,2
5500,26.10,45.96,101.50,646,479,1.42,0.97,1.35,0.83,0.73,2
6000,26.13,45.92,101.50,598,443,1.42,0.97,1.34,0.78,0.73,2
6500,26.17,45.89,101.50,1090,707,1.44,0.97,1.36,1.00,0.83,2
7000,26.29,45.88,101.50,2634,1940,1.48,0.99,1.42,1.48,0.87,2
7500,26.39,45.86,101.50,3399,4161,1.51,1.00,1.45,1.48,1.04,2
8000,26.42,45.81,101.50,2801,5350,1.52,1.00,1.46,1.34,1.03,2
8500,26.49,45.79,101.50,4347,9085,1.56,1.01,1.51,1.65,1.07,2
9000,26.59,45.75,101.50,6084,16199,1.59,1.03,1.55,1.65,1.05,2
9500,26.64,45.71,101.50,4921,21099,1.60,1.04,1.58,1.56,1.01,2
10000,26.71,45.69,101.50,6865,31452,1.63,1.05,1.62,1.67,0.99,2
10500,26.81,45.66,101.50,6391,35948,1.64,1.09,1.65,1.56,1.00,2
11000,26.88,45.64,101.50,5441,35983,1.66,1.11,1.68,1.54,1.00,2
11500,27.13,45.68,101.50,6379,38458,1.69,1.14,1.72,1.73,1.07,2
12000,27.42,45.71,101.50,5638,39922,1.72,1.18,1.77,1.81,1.02,2
12500,27.47,45.69,101.50,3628,30894,1.73,1.19,1.77,1.55,1.00,2
13000,27.52,45.60,101.50,2339,21762,1.72,1.20,1.78,1.39,1.01,2
13500,27.59,45.52,101.50,1628,14859,1.73,1.21,1.78,1.34,1.05,2
14000,27.70,45.40,101.50,1489,13058,1.75,1.22,1.80,1.51,1.10,2
14500,27.79,45.27,101.50,1132,10796,1.74,1.22,1.79,1.35,1.02,2
15000,27.73,45.11,101.50,797,8151,1.73,1.21,1.78,1.10,0.98,2
15500,27.65,44.94,101.50,682,6413,1.71,1.20,1.75,0.95,0.98,2
16000,27.61,44.74,101.50,603,5495,1.70,1.19,1.74,0.92,0.99,2
16500,27.64,44.57,101.50,601,4738,1.70,1.18,1.74,0.98,0.98,2
17000,27.64,44.39,101.50,560,4031,1.69,1.18,1.73,0.90,0.95,2
17500,27.68,44.22,101.50,572,3439,1.69,1.17,1.72,0.94,0.93,2
18000,27.68,44.08,101.50,561,3008,1.69,1.17,1.71,0.89,0.92,2
18500,27.69,43.93,101.50,529,2674,1.68,1.16,1.70,0.88,0.94,2
19000,27.78,43.83,101.50,625,2593,1.69,1.16,1.71,1.08,1.03,2
19500,27.91,43.73,101.50,716,2597,1.70,1.18,1.73,1.18,1.07,2
20000,27.95,43.62,101.50,693,2454,1.70,1.18,1.73,1.15,1.08,2
20500,27.96,43.52,101.50,656,2325,1.70,1.18,1.72,1.02,1.12,2
21000,28.01,43.41,101.50,814,2438,1.71,1.19,1.73,1.17,1.19,2
21500,28.11,43.27,101.50,855,2572,1.72,1.20,1.75,1.31,1.21,2
22000,28.27,43.19,101.50,1826,4141,1.76,1.23,1.79,1.64,1.21,2
22500,28.43,43.08,101.50,1525,4472,1.76,1.24,1.80,1.46,1.31,2
23000,28.62,42.97,101.50,2997,6849,1.82,1.27,1.85,1.85,1.41,2
23500,28.83,42.84,101.50,3247,10436,1.83,1.31,1.88,1.76,1.51,2
24000,29.06,42.74,101.50,3468,12912,1.88,1.34,1.93,2.01,1.45,2
24500,29.37,42.65,101.50,3137,13531,1.90,1.36,1.95,1.97,1.50,2
25000,29.87,42.58,101.50,3316,14938,1.94,1.39,2.00,2.04,1.53,2
25500,30.29,42.46,101.50,4906,23330,1.98,1.42,2.04,2.17,1.55,2
26000,30.62,42.31,101.50,8296,39783,2.01,1.46,2.09,2.17,1.63,2
26500,30.65,42.07,101.50,6147,39957,2.02,1.47,2.09,1.98,1.60,2
27000,30.69,41.77,101.50,3618,31417,2.01,1.47,2.09,1.81,1.61,2
27500,30.77,41.49,101.50,2833,23818,2.02,1.47,2.08,1.81,1.69,2
28000,31.05,41.22,101.49,3277,24446,2.03,1.48,2.10,1.98,1.63,2
28500,31.18,40.99,101.50,2254,18555,2.03,1.48,2.10,1.81,1.65,2
29000,31.48,40.77,101.50,5163,31975,2.05,1.49,2.12,2.03,1.70,2
29500,31.88,40.53,101.50,7676,44314,2.08,1.51,2.15,2.26,1.72,2
30000,32.47,40.34,101.50,11116,55294,2.12,1.55,2.20,2.38,1.64,2
30500,33.13,40.18,101.50,19113,60000,2.15,1.59,2.25,2.47,1.59,2
31000,33.62,39.90,101.50,19030,60000,2.17,1.62,2.28,2.42,1.60,2
31500,33.85,39.52,101.50,14854,60000,2.19,1.63,2.30,2.40,1.69,2
32000,34.14,39.11,101.51,14054,60000,2.20,1.64,2.31,2.33,1.85,2
