timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,25.12,47.88,101.84,400,0,1.53,0.94,1.45,0.82,0.70,1
500,25.31,47.91,101.84,400,5,1.53,0.93,1.45,0.81,0.70,1
1000,25.56,47.92,101.84,400,6,1.53,0.93,1.45,0.81,0.70,1
1500,25.73,47.85,101.84,400,4,1.53,0.93,1.44,0.78,0.70,1
2000,25.81,47.74,101.83,400,0,1.52,0.93,1.44,0.76,0.69,1
2500,25.88,47.65,101.84,400,0,1.52,0.93,1.44,0.74,0.69,1
3000,25.92,47.51,101.84,400,6,1.52,0.93,1.44,0.72,0.69,1
3500,25.95,47.37,101.84,400,1,1.52,0.93,1.44,0.72,0.69,1
4000,25.98,47.24,101.84,400,0,1.52,0.93,1.43,0.70,0.69,1
4500,26.00,47.13,101.84,400,0,1.52,0.93,1.43,0.69,0.69,1
5000,26.02,47.01,101.83,400,0,1.52,0.93,1.43,0.68,0.69,2
5500,26.05,46.90,101.84,400,0,1.52,0.93,1.43,0.67,0.69,2
6000,26.06,46.76,101.84,400,0,1.51,0.93,1.43,0.67,0.69,2
6500,26.08,46.64,101.84,411,0,1.51,0.93,1.42,0.66,0.68,2
7000,26.10,46.53,101.84,403,0,1.52,0.93,1.42,0.66,0.68,2
7500,26.11,46.40,101.84,410,0,1.51,0.93,1.42,0.66,0.68,2
8000,26.13,46.32,101.84,493,13,1.52,0.93,1.42,0.72,0.69,2
8500,26.16,46.24,101.84,817,118,1.55,0.94,1.47,1.24,0.94,2
9000,26.27,46.18,101.84,1182,261,1.60,0.95,1.54,1.52,1.04,2
9500,26.32,46.14,101.84,1081,405,1.62,0.95,1.57,1.42,0.99,2
10000,26.35,46.10,101.84,1056,479,1.63,0.95,1.58,1.38,1.22,2
10500,26.52,46.13,101.84,4364,2221,1.74,0.98,1.70,2.15,1.39,2
11000,26.75,46.19,101.84,4604,5320,1.79,1.01,1.77,1.99,1.29,2
11500,26.92,46.28,101.84,2320,4843,1.79,1.01,1.77,1.68,1.29,2
12000,27.03,46.37,101.84,1660,3830,1.79,1.01,1.77,1.55,1.40,2
12500,27.18,46.40,101.84,1428,3223,1.79,1.02,1.77,1.42,1.34,2
13000,27.26,46.40,101.84,1058,2771,1.78,1.03,1.77,1.25,1.21,2
13500,27.21,46.35,101.84,847,2240,1.77,1.02,1.75,1.04,1.14,2
14000,27.19,46.29,101.84,732,1833,1.76,1.02,1.74,1.05,1.09,2
14500,27.23,46.24,101.84,632,1450,1.75,1.01,1.73,0.99,1.07,2
15000,27.25,46.15,101.84,543,1210,1.73,1.01,1.72,0.89,1.03,2
15500,27.22,46.01,101.84,499,1022,1.73,1.01,1.70,0.85,1.04,2
16000,27.34,45.88,101.83,532,925,1.73,1.02,1.71,0.97,1.06,2
16500,27.49,45.80,101.83,856,1099,1.76,1.04,1.73,1.25,1.13,2
17000,27.82,45.75,101.84,897,1159,1.79,1.08,1.77,1.36,1.10,2
17500,27.98,45.70,101.84,772,1124,1.78,1.10,1.77,1.18,1.10,2
18000,28.03,45.60,101.84,752,1057,1.79,1.11,1.78,1.15,1.22,2
18500,28.19,45.48,101.84,835,1098,1.81,1.13,1.80,1.25,1.31,2
19000,28.42,45.38,101.83,1064,1188,1.85,1.17,1.84,1.46,1.37,2
19500,28.88,45.32,101.84,1364,1395,1.88,1.22,1.88,1.56,1.46,2
20000,29.36,45.24,101.84,1931,2037,1.94,1.29,1.95,1.70,1.53,2
20500,29.72,45.15,101.84,1929,2420,1.96,1.34,1.98,1.59,1.48,2
21000,29.92,44.94,101.84,1590,2450,1.97,1.36,2.00,1.40,1.43,2
21500,29.83,44.62,101.84,1067,2129,1.96,1.36,1.99,1.19,1.36,2
22000,29.89,44.29,101.84,858,1852,1.97,1.36,1.99,1.22,1.39,2
22500,29.91,43.95,101.84,766,1619,1.96,1.36,1.99,1.08,1.33,2
23000,29.92,43.58,101.84,794,1487,1.97,1.35,1.99,1.24,1.32,2
23500,29.98,43.24,101.84,732,1336,1.96,1.34,1.99,1.09,1.22,2
24000,29.91,42.88,101.84,683,1211,1.96,1.33,1.98,1.15,1.24,2
24500,30.22,42.61,101.84,794,1221,1.97,1.35,2.00,1.37,1.30,2
25000,30.70,42.42,101.84,1659,1766,2.02,1.39,2.05,1.84,1.40,2
25500,31.29,42.32,101.84,3635,3906,2.09,1.45,2.13,2.08,1.50,2
26000,31.76,42.15,101.84,2752,4512,2.11,1.49,2.16,1.88,1.50,2
26500,32.07,41.92,101.84,1984,4211,2.12,1.51,2.17,1.67,1.56,2
27000,32.42,41.65,101.84,2040,4312,2.14,1.54,2.19,1.73,1.61,2
27500,32.85,41.33,101.84,2207,4728,2.15,1.56,2.21,1.70,1.61,2
28000,33.02,40.94,101.84,2038,4853,2.16,1.57,2.22,1.60,1.69,2
28500,33.16,40.51,101.84,2079,4833,2.16,1.57,2.21,1.53,1.67,2
29000,33.36,40.08,101.84,2879,5791,2.17,1.58,2.23,1.71,1.75,2
29500,33.68,39.71,101.84,2896,6212,2.20,1.60,2.26,1.90,1.73,2
30000,34.01,39.36,101.84,4351,8590,2.23,1.62,2.29,2.07,1.76,2
30500,34.35,39.07,101.84,3753,8804,2.24,1.63,2.30,1.98,1.79,2
31000,34.63,38.72,101.84,3372,8466,2.24,1.64,2.31,1.82,1.79,2
31500,34.94,38.40,101.84,4258,9828,2.26,1.64,2.32,2.01,1.85,2
32000,35.38,38.08,101.84,4832,11539,2.26,1.65,2.33,1.90,1.90,2
32500,35.58,37.69,101.84,4163,11460,2.26,1.65,2.33,1.80,1.88,2
33000,35.77,37.27,101.84,3706,10526,2.27,1.65,2.33,1.85,1.94,2
33500,35.99,36.83,101.84,4047,10537,2.27,1.65,2.34,1.89,1.93,2
34000,36.53,36.48,101.85,3718,10413,2.28,1.66,2.35,1.84,1.92,2
34500,36.93,36.13,101.84,5475,12957,2.30,1.67,2.36,2.03,1.98,2
35000,37.38,35.81,101.84,7253,15501,2.31,1.68,2.38,2.03,2.04,2
35500,37.79,35.44,101.84,6176,15422,2.32,1.70,2.39,2.06,2.00,2
36000,38.16,35.11,101.84,5829,15141,2.32,1.70,2.39,1.95,2.14,2
36500,38.59,34.74,101.84,8551,20298,2.34,1.71,2.40,2.06,2.17,2
37000,39.04,34.35,101.84,7282,18868,2.34,1.72,2.40,2.06,2.14,2
37500,39.46,33.97,101.84,7914,21308,2.35,1.72,2.41,2.05,2.05,2
38000,39.73,33.53,101.84,6205,16707,2.35,1.72,2.41,1.96,2.09,2
38500,40.05,33.05,101.84,4631,14826,2.35,1.72,2.41,1.93,2.09,2
39000,40.46,32.61,101.84,6674,16143,2.36,1.73,2.43,2.13,2.11,2
39500,40.76,32.20,101.85,5452,15569,2.36,1.73,2.42,2.00,2.14,2
40000,41.03,31.75,101.84,6327,16233,2.36,1.73,2.43,2.05,2.11,2
40500,41.51,31.41,101.84,8441,21762,2.37,1.74,2.44,2.09,2.18,2
41000,41.98,31.08,101.84,7450,21099,2.37,1.74,2.44,2.04,2.12,2
41500,42.38,30.74,101.84,7937,22110,2.38,1.75,2.45,2.10,2.19,2
42000,42.74,30.31,101.84,5730,16777,2.38,1.74,2.44,1.94,2.17,2
42500,43.02,29.83,101.84,4732,15389,2.36,1.73,2.43,1.82,2.16,2
43000,42.94,29.23,101.84,4521,14387,2.36,1.72,2.41,1.76,2.21,2
43500,43.34,28.76,101.84,5742,15850,2.36,1.72,2.42,1.94,2.18,2
44000,43.74,28.39,101.84,7172,18624,2.37,1.72,2.43,1.98,2.19,2
44500,44.11,28.01,101.84,5881,16463,2.36,1.72,2.42,1.94,2.17,2
45000,44.25,27.53,101.84,4786,15310,2.35,1.71,2.41,1.85,2.15,2
45500,44.50,27.10,101.84,4972,15355,2.35,1.71,2.41,1.90,2.13,2
46000,45.03,26.74,101.84,4852,14995,2.36,1.71,2.41,1.97,2.13,2
46500,45.47,26.40,101.84,5725,15422,2.37,1.71,2.42,2.01,2.16,2
47000,45.88,26.09,101.84,7821,19844,2.37,1.73,2.43,2.08,2.18,2
47500,46.27,25.85,101.84,5962,17126,2.37,1.72,2.43,1.86,2.16,2
48000,46.62,25.48,101.84,7213,19600,2.37,1.72,2.43,1.93,2.18,2
48500,46.94,25.11,101.84,9217,24097,2.38,1.73,2.44,2.10,2.19,2
49000,47.05,24.78,101.84,6964,20576,2.37,1.72,2.43,1.93,2.28,2
49500,47.33,24.43,101.84,6808,20263,2.38,1.72,2.43,1.95,2.32,2
50000,47.69,24.16,101.84,9026,25143,2.39,1.74,2.45,2.10,2.29,2
50500,48.15,23.99,101.84,8539,25805,2.39,1.74,2.45,2.05,2.25,2
51000,48.57,23.76,101.84,6889,22110,2.38,1.73,2.44,1.87,2.33,2
51500,48.95,23.42,101.84,8203,23574,2.39,1.73,2.44,1.97,2.29,2
52000,49.36,23.03,101.84,6889,21030,2.37,1.72,2.42,1.78,2.34,2
52500,49.74,22.60,101.83,6906,20751,2.37,1.72,2.42,1.86,2.30,2
53000,50.10,22.27,101.84,6946,20681,2.38,1.72,2.43,1.96,2.29,2
53500,50.35,21.98,101.84,8226,24794,2.39,1.73,2.43,1.99,2.31,2
54000,50.53,21.59,101.84,8661,26014,2.39,1.72,2.43,1.99,2.28,2
