timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,38.77,21.23,102.13,523,313,2.22,1.66,2.23,1.43,1
500,39.06,21.28,102.14,532,313,2.22,1.66,2.23,1.43,1
1000,39.29,21.29,102.14,544,329,2.22,1.66,2.23,1.44,1
1500,39.52,21.23,102.14,545,326,2.22,1.65,2.23,1.44,1
2000,39.46,21.16,102.14,681,398,2.22,1.65,2.23,1.56,1
2500,39.24,21.04,102.14,880,533,2.22,1.65,2.23,1.74,1
3000,39.27,20.97,102.14,794,570,2.23,1.66,2.24,1.70,1
3500,39.37,20.94,102.13,696,553,2.22,1.65,2.23,1.60,1
4000,39.35,20.91,102.13,627,536,2.22,1.65,2.23,1.54,1
4500,39.13,20.89,102.14,570,499,2.22,1.65,2.23,1.49,1
5000,38.83,20.87,102.14,555,478,2.22,1.65,2.22,1.53,1
5500,38.66,20.89,102.14,752,557,2.22,1.65,2.22,1.71,1
6000,38.53,20.98,102.14,843,636,2.22,1.65,2.23,1.73,1
6500,38.50,21.07,102.14,807,720,2.22,1.65,2.23,1.69,1
7000,38.31,21.18,102.14,674,650,2.22,1.65,2.22,1.58,2
7500,38.11,21.25,102.14,617,611,2.22,1.64,2.22,1.55,2
8000,38.16,21.35,102.14,600,590,2.21,1.64,2.22,1.60,2
8500,38.23,21.47,102.14,592,557,2.22,1.64,2.22,1.66,2
9000,38.25,21.56,102.14,574,531,2.21,1.64,2.22,1.62,2
9500,38.34,21.68,102.14,590,531,2.21,1.64,2.22,1.58,2
10000,38.23,21.75,102.14,556,501,2.21,1.63,2.21,1.54,2
10500,38.18,21.78,102.14,565,501,2.21,1.63,2.21,1.60,2
11000,38.01,21.84,102.14,538,473,2.21,1.63,2.21,1.54,2
11500,37.82,21.87,102.14,523,455,2.20,1.63,2.21,1.54,2
12000,37.68,21.95,102.14,517,447,2.20,1.63,2.21,1.54,2
12500,37.61,22.05,102.13,510,433,2.20,1.63,2.21,1.53,2
13000,37.51,22.14,102.14,509,409,2.20,1.63,2.20,1.52,2
13500,37.68,22.24,102.14,603,438,2.20,1.63,2.21,1.64,2
14000,37.87,22.36,102.14,650,466,2.20,1.63,2.21,1.70,2
14500,38.08,22.46,102.14,646,480,2.20,1.63,2.21,1.70,2
15000,38.23,22.46,102.14,647,498,2.21,1.63,2.21,1.70,2
15500,38.57,22.50,102.14,721,533,2.21,1.63,2.21,1.73,2
16000,38.92,22.48,102.14,826,625,2.21,1.63,2.21,1.82,2
16500,39.30,22.41,102.14,970,786,2.22,1.63,2.22,1.88,2
17000,39.54,22.29,102.14,1016,890,2.22,1.64,2.22,1.89,2
17500,39.54,22.11,102.14,941,920,2.22,1.63,2.22,1.83,2
18000,39.64,21.99,102.14,951,999,2.22,1.64,2.22,1.84,2
18500,39.65,21.85,102.14,992,1052,2.22,1.63,2.22,1.81,2
19000,39.88,21.74,102.14,1132,1142,2.22,1.64,2.23,1.85,2
19500,40.06,21.58,102.14,1123,1215,2.22,1.64,2.23,1.88,2
20000,40.28,21.48,102.14,1092,1261,2.23,1.64,2.23,1.85,2
20500,40.51,21.33,102.14,1173,1297,2.23,1.64,2.23,1.86,2
21000,40.88,21.21,102.14,1328,1480,2.23,1.64,2.23,1.91,2
21500,41.50,21.08,102.14,1445,1667,2.23,1.64,2.23,2.01,2
22000,41.76,20.89,102.14,1236,1623,2.23,1.64,2.24,1.92,2
22500,42.02,20.63,102.14,1068,1519,2.23,1.64,2.24,1.89,2
23000,42.27,20.42,102.14,1003,1459,2.24,1.64,2.24,1.83,2
23500,42.31,20.16,102.14,843,1319,2.23,1.64,2.24,1.79,2
24000,42.70,19.96,102.14,1059,1443,2.24,1.64,2.24,1.95,2
24500,43.03,19.74,102.14,1006,1362,2.24,1.65,2.24,2.01,2
25000,43.48,19.55,102.14,995,1397,2.24,1.65,2.25,2.06,2
25500,43.70,19.32,102.14,1103,1452,2.25,1.65,2.25,2.12,2
26000,44.01,19.10,102.14,1376,1688,2.25,1.65,2.25,2.18,2
26500,44.31,18.87,102.14,1547,1912,2.25,1.65,2.26,2.15,2
27000,44.70,18.68,102.14,2614,2623,2.26,1.66,2.27,2.32,2
27500,45.16,18.48,102.14,2867,3158,2.27,1.66,2.28,2.34,2
28000,45.32,18.25,102.14,2862,3690,2.28,1.67,2.29,2.35,2
28500,45.50,18.03,102.14,2558,3760,2.28,1.67,2.29,2.29,2
29000,45.66,17.81,102.14,2300,3740,2.28,1.67,2.30,2.34,2
