timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,29.28,31.75,101.90,400,0,2.30,1.64,2.34,1.15,1.12,1
500,29.67,31.75,101.90,400,0,2.30,1.64,2.34,1.15,1.11,1
1000,29.77,31.67,101.90,400,0,2.30,1.64,2.34,1.15,1.12,1
1500,29.74,31.58,101.90,400,0,2.30,1.64,2.34,1.16,1.12,1
2000,29.77,31.45,101.90,400,0,2.30,1.64,2.34,1.16,1.11,1
2500,29.90,31.38,101.90,400,0,2.30,1.64,2.34,1.15,1.11,1
3000,29.99,31.28,101.91,400,0,2.30,1.64,2.34,1.15,1.11,1
3500,30.05,31.19,101.90,400,0,2.30,1.64,2.34,1.15,1.11,1
4000,30.03,31.08,101.91,400,0,2.30,1.64,2.34,1.23,1.12,1
4500,30.02,30.98,101.91,400,0,2.30,1.64,2.34,1.27,1.12,1
5000,30.01,30.92,101.91,400,0,2.30,1.64,2.34,1.27,1.15,1
5500,30.00,30.88,101.91,400,0,2.30,1.64,2.34,1.28,1.16,1
6000,30.03,30.86,101.91,400,0,2.30,1.64,2.34,1.35,1.17,1
6500,30.03,30.85,101.90,400,0,2.30,1.64,2.34,1.31,1.16,1
7000,29.95,30.84,101.90,400,0,2.30,1.64,2.34,1.26,1.16,1
7500,29.85,30.81,101.91,400,0,2.30,1.64,2.34,1.23,1.15,1
8000,29.87,30.78,101.91,400,0,2.30,1.64,2.34,1.20,1.14,1
8500,29.91,30.75,101.91,400,0,2.30,1.64,2.34,1.19,1.14,1
9000,29.96,30.73,101.91,400,0,2.30,1.64,2.34,1.23,1.17,1
9500,29.97,30.69,101.91,400,0,2.30,1.63,2.34,1.26,1.19,1
10000,29.92,30.67,101.91,400,0,2.30,1.64,2.34,1.26,1.18,1
10500,29.87,30.66,101.90,400,0,2.30,1.64,2.34,1.26,1.19,1
11000,29.94,30.68,101.90,400,0,2.30,1.64,2.34,1.29,1.20,1
11500,29.95,30.69,101.91,400,0,2.30,1.63,2.34,1.27,1.18,1
12068,29.83,30.67,101.91,400,0,2.30,1.64,2.34,1.24,1.18,2
12568,29.89,30.67,101.91,400,0,2.30,1.63,2.34,1.23,1.17,2
13068,30.01,30.68,101.91,400,0,2.29,1.63,2.34,1.23,1.18,2
13568,30.17,30.65,101.90,400,0,2.30,1.64,2.33,1.29,1.20,2
14068,30.38,30.61,101.90,400,0,2.29,1.64,2.34,1.35,1.21,2
14568,30.69,30.58,101.90,400,0,2.30,1.63,2.34,1.41,1.21,2
15068,30.86,30.49,101.90,400,0,2.30,1.64,2.34,1.40,1.22,2
15568,30.99,30.40,101.91,400,0,2.30,1.64,2.34,1.40,1.23,2
16068,31.22,30.28,101.90,400,33,2.30,1.64,2.34,1.40,1.24,2
16568,31.32,30.18,101.90,400,46,2.30,1.64,2.34,1.38,1.24,2
17068,31.37,30.01,101.90,400,68,2.30,1.64,2.34,1.39,1.24,2
17568,31.52,29.91,101.91,400,90,2.30,1.64,2.34,1.38,1.23,2
18068,31.61,29.77,101.91,400,96,2.30,1.64,2.34,1.38,1.26,2
18568,31.76,29.63,101.91,400,100,2.30,1.64,2.34,1.37,1.26,2
19068,31.95,29.49,101.91,400,107,2.30,1.64,2.34,1.38,1.26,2
19568,31.99,29.30,101.91,400,98,2.30,1.64,2.34,1.35,1.25,2
20068,31.95,29.13,101.91,400,86,2.30,1.64,2.34,1.31,1.26,2
20568,31.90,28.96,101.91,400,69,2.30,1.64,2.34,1.30,1.26,2
21068,31.95,28.84,101.91,400,60,2.30,1.64,2.34,1.31,1.26,2
21568,32.14,28.73,101.91,400,61,2.30,1.64,2.34,1.33,1.27,2
22068,32.28,28.61,101.91,400,49,2.30,1.64,2.34,1.32,1.26,2
22568,32.21,28.47,101.91,400,34,2.30,1.64,2.34,1.29,1.26,2
23068,32.24,28.34,101.91,400,27,2.30,1.64,2.34,1.29,1.26,2
23568,32.29,28.25,101.91,400,9,2.30,1.64,2.34,1.28,1.26,2
24068,32.32,28.12,101.91,400,0,2.30,1.64,2.34,1.27,1.26,2
24568,32.30,27.98,101.91,400,0,2.30,1.64,2.34,1.27,1.25,2
25068,32.43,27.90,101.91,400,0,2.30,1.64,2.34,1.28,1.26,2
