timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,26.02,49.19,102.13,593,205,1.67,1.17,1.65,1.48,1
500,26.43,49.17,102.14,612,205,1.67,1.17,1.65,1.48,1
1000,26.59,49.08,102.14,691,227,1.68,1.17,1.65,1.62,1
1500,26.67,48.97,102.14,867,299,1.69,1.17,1.66,1.76,1
2000,26.72,48.82,102.14,963,386,1.69,1.18,1.67,1.82,1
2500,26.76,48.69,102.14,832,398,1.70,1.18,1.67,1.76,1
3000,26.81,48.55,102.14,838,419,1.70,1.18,1.67,1.72,1
3500,26.87,48.43,102.14,802,422,1.70,1.18,1.67,1.67,1
4000,26.91,48.31,102.14,722,421,1.70,1.18,1.67,1.63,1
4500,26.92,48.17,102.14,679,407,1.69,1.17,1.67,1.60,1
5000,26.92,48.04,102.14,659,397,1.70,1.17,1.66,1.58,1
5500,26.92,47.92,102.14,822,440,1.70,1.18,1.67,1.66,1
6000,26.93,47.81,102.14,1233,584,1.71,1.18,1.68,1.82,1
6500,26.94,47.69,102.14,1226,720,1.71,1.18,1.69,1.87,1
7000,26.96,47.62,102.14,1252,840,1.72,1.18,1.69,1.86,1
7500,26.99,47.55,102.14,1042,857,1.72,1.18,1.70,1.84,1
8000,27.01,47.48,102.14,943,828,1.72,1.18,1.70,1.78,1
8500,27.02,47.38,102.14,910,831,1.72,1.18,1.70,1.74,1
9000,27.03,47.33,102.14,788,772,1.72,1.18,1.70,1.69,1
9500,27.06,47.29,102.14,1302,966,1.73,1.18,1.71,1.85,1
10000,27.10,47.31,102.14,2077,1402,1.75,1.19,1.72,2.05,1
10500,27.12,47.38,102.14,2457,2064,1.75,1.19,1.73,2.07,1
11000,27.13,47.44,102.14,2009,2277,1.76,1.19,1.74,2.03,1
11500,27.14,47.49,102.14,1676,2177,1.75,1.19,1.74,1.94,1
12000,27.17,47.51,102.14,1522,2009,1.76,1.19,1.74,1.97,1
12500,27.21,47.54,102.14,1738,2196,1.77,1.20,1.75,2.10,1
13000,27.26,47.61,102.14,1538,2113,1.78,1.20,1.76,2.12,1
13500,27.31,47.67,102.14,1233,1850,1.78,1.20,1.76,2.06,1
14000,27.36,47.78,102.14,1380,1850,1.79,1.20,1.77,2.13,1
14500,27.39,47.84,102.14,1210,1683,1.79,1.20,1.77,2.09,1
15000,27.41,47.92,102.14,1400,1699,1.79,1.20,1.78,2.12,1
15500,27.52,47.98,102.14,1631,1981,1.80,1.20,1.78,2.18,1
16000,27.52,47.92,102.14,1200,1732,1.79,1.20,1.78,2.05,1
16500,27.48,47.80,102.14,843,1402,1.78,1.20,1.77,1.88,1
17080,27.33,47.63,102.14,725,1200,1.78,1.20,1.77,1.75,2
17580,27.40,47.47,102.14,676,1080,1.78,1.20,1.76,1.73,2
18080,27.48,47.36,102.14,742,1000,1.78,1.19,1.76,1.85,2
18580,27.76,47.28,102.14,1660,1404,1.81,1.20,1.80,2.25,2
19080,28.05,47.16,102.14,1933,1970,1.83,1.21,1.82,2.42,2
19580,28.25,47.05,102.14,2041,2293,1.84,1.22,1.84,2.39,2
20080,28.54,46.92,102.14,2227,2614,1.85,1.23,1.85,2.43,2
20580,28.83,46.78,102.14,2904,3031,1.87,1.24,1.87,2.48,2
21080,29.11,46.57,102.14,2958,3564,1.88,1.25,1.89,2.49,2
21580,29.27,46.33,102.13,3004,4026,1.90,1.25,1.90,2.44,2
22080,29.53,46.07,102.14,3331,4477,1.91,1.26,1.92,2.48,2
22580,29.79,45.78,102.14,3949,5179,1.92,1.27,1.93,2.48,2
23080,30.08,45.51,102.14,4329,5891,1.93,1.28,1.95,2.50,2
23580,30.31,45.15,102.14,3996,6027,1.94,1.29,1.95,2.45,2
24080,30.37,44.74,102.14,2359,4909,1.94,1.29,1.95,2.32,2
24580,30.25,44.27,102.14,1574,3620,1.93,1.29,1.95,2.20,2
25080,30.31,43.88,102.14,1134,2764,1.92,1.28,1.94,2.08,2
25580,30.34,43.53,102.14,1509,2780,1.92,1.28,1.94,2.10,2
26080,30.57,43.18,102.14,1474,2651,1.93,1.28,1.95,2.25,2
26580,30.78,42.90,102.14,1968,2997,1.93,1.29,1.95,2.21,2
27080,30.77,42.57,102.14,2970,3890,1.93,1.29,1.95,2.23,2
27580,30.93,42.28,102.14,2315,3895,1.94,1.29,1.95,2.24,2
28080,31.18,42.03,102.14,1846,3329,1.95,1.29,1.96,2.29,2
28580,31.24,41.77,102.14,1483,2895,1.94,1.29,1.96,2.19,2
29080,31.26,41.50,102.14,1311,2600,1.94,1.29,1.95,2.21,2
29580,31.49,41.29,102.14,1404,2533,1.95,1.29,1.96,2.30,2
30080,31.68,41.07,102.14,1707,2688,1.95,1.29,1.97,2.32,2
30580,31.67,40.81,102.14,2012,2900,1.95,1.29,1.96,2.21,2
31080,31.71,40.54,102.14,3593,4176,1.95,1.29,1.97,2.25,2
31580,31.81,40.32,102.14,4003,5245,1.95,1.30,1.97,2.28,2
32080,32.21,40.16,102.14,7062,7205,1.98,1.30,1.99,2.49,2
32580,32.53,40.03,102.14,4899,7464,1.98,1.31,2.00,2.51,2
33080,32.71,39.85,102.14,4359,6814,1.99,1.31,2.00,2.44,2
33580,32.91,39.62,102.14,4317,6709,1.99,1.32,2.01,2.46,2
34080,33.14,39.40,102.14,5394,8004,2.01,1.32,2.02,2.54,2
34580,33.35,39.18,102.14,6280,9119,2.01,1.32,2.03,2.53,2
35080,33.52,38.93,102.14,9217,11843,2.03,1.33,2.04,2.59,2
35580,33.96,38.75,102.14,9373,13137,2.04,1.34,2.05,2.61,2
36080,34.20,38.54,102.14,8336,12338,2.04,1.35,2.05,2.57,2
36580,34.54,38.30,102.14,11197,14724,2.05,1.35,2.07,2.63,2
37080,34.87,38.08,102.14,8979,13903,2.06,1.36,2.08,2.63,2
37580,34.96,37.77,102.14,7867,12788,2.06,1.36,2.08,2.61,2
38080,34.99,37.41,102.14,6020,11066,2.06,1.36,2.08,2.54,2
38580,35.45,37.17,102.14,7271,11831,2.08,1.37,2.10,2.71,2
39080,35.95,37.03,102.14,6616,11528,2.09,1.38,2.12,2.73,2
39580,36.12,36.82,102.14,8516,12439,2.10,1.39,2.12,2.69,2
40080,36.60,36.66,102.14,13834,17195,2.12,1.40,2.14,2.77,2
40580,37.14,36.49,102.14,16163,21413,2.13,1.41,2.16,2.81,2
41080,37.48,36.28,102.14,18479,25422,2.15,1.43,2.17,2.81,2
41580,38.03,36.06,102.14,18038,26049,2.16,1.44,2.19,2.83,2
42080,38.49,35.80,102.14,16646,24341,2.18,1.45,2.20,2.84,2
42580,38.78,35.48,102.14,17748,25561,2.18,1.46,2.21,2.83,2
43080,38.97,35.12,102.14,16839,24655,2.18,1.47,2.21,2.79,2
43580,39.25,34.68,102.14,22228,30790,2.20,1.47,2.23,2.83,2
44080,39.63,34.28,102.14,23938,34415,2.20,1.48,2.24,2.81,2
44580,39.89,33.80,102.14,23221,33613,2.21,1.49,2.24,2.81,2
45080,40.28,33.37,102.14,21346,32358,2.22,1.50,2.25,2.82,2
45580,40.62,32.93,102.14,16398,26084,2.22,1.50,2.25,2.80,2
46080,40.98,32.53,102.14,23414,32114,2.23,1.51,2.26,2.81,2
