timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,32.71,24.86,101.89,400,0,2.13,1.49,2.16,1.23,1.12,1
500,33.06,24.91,101.89,400,0,2.13,1.49,2.16,1.23,1.11,1
1000,33.12,24.89,101.89,400,0,2.13,1.49,2.16,1.23,1.11,1
1500,33.26,24.87,101.89,400,0,2.13,1.49,2.16,1.23,1.11,1
2000,33.55,24.86,101.89,400,0,2.13,1.49,2.16,1.25,1.12,1
2500,33.77,24.84,101.89,400,0,2.13,1.49,2.16,1.25,1.12,1
3000,33.97,24.80,101.89,400,0,2.13,1.49,2.16,1.24,1.11,1
3500,34.16,24.71,101.89,400,0,2.13,1.48,2.16,1.23,1.12,1
4000,34.32,24.62,101.89,400,0,2.13,1.48,2.16,1.23,1.11,1
4500,34.34,24.47,101.90,400,0,2.13,1.48,2.16,1.24,1.14,1
5000,34.11,24.33,101.90,400,0,2.13,1.48,2.16,1.48,1.17,1
5500,34.03,24.21,101.89,400,0,2.14,1.49,2.17,1.65,1.18,1
6000,34.07,24.18,101.89,403,110,2.15,1.49,2.18,1.80,1.26,1
6500,33.96,24.10,101.90,400,248,2.15,1.49,2.19,1.86,1.26,1
7000,34.05,24.06,101.89,425,405,2.15,1.49,2.19,1.82,1.25,1
7500,34.13,24.02,101.90,400,466,2.15,1.49,2.19,1.71,1.22,1
8000,34.12,23.99,101.90,400,421,2.15,1.49,2.19,1.59,1.23,1
8500,34.15,23.95,101.90,400,347,2.15,1.49,2.19,1.55,1.25,1
9000,34.29,23.93,101.90,400,277,2.15,1.49,2.19,1.55,1.28,1
9500,34.22,23.87,101.89,400,241,2.15,1.49,2.19,1.58,1.27,2
10000,34.15,23.81,101.90,400,211,2.15,1.49,2.19,1.53,1.26,2
10500,34.02,23.76,101.89,400,183,2.15,1.49,2.18,1.48,1.27,2
11000,34.04,23.76,101.90,400,166,2.15,1.49,2.19,1.65,1.28,2
11500,34.02,23.75,101.90,400,133,2.15,1.49,2.19,1.52,1.25,2
12000,33.81,23.73,101.89,400,101,2.15,1.48,2.18,1.41,1.22,2
12500,33.63,23.74,101.89,400,73,2.15,1.48,2.18,1.36,1.21,2
13000,33.49,23.74,101.89,400,41,2.14,1.48,2.18,1.32,1.20,2
13500,33.36,23.75,101.89,400,12,2.14,1.48,2.17,1.30,1.19,2
14000,33.26,23.82,101.90,400,0,2.14,1.48,2.17,1.34,1.21,2
14500,33.43,23.88,101.89,400,0,2.15,1.48,2.18,1.59,1.26,2
15000,33.93,24.03,101.90,400,170,2.16,1.49,2.19,1.85,1.25,2
15500,33.92,24.08,101.90,400,231,2.15,1.49,2.19,1.62,1.23,2
16000,33.70,24.08,101.89,400,260,2.15,1.49,2.19,1.52,1.27,2
16500,33.62,24.09,101.89,400,250,2.15,1.48,2.18,1.49,1.25,2
17000,33.50,24.10,101.89,400,215,2.15,1.48,2.18,1.44,1.25,2
17500,33.37,24.12,101.89,400,172,2.15,1.48,2.18,1.38,1.23,2
18000,33.25,24.16,101.89,400,136,2.15,1.48,2.18,1.35,1.22,2
18500,33.17,24.20,101.89,400,96,2.14,1.48,2.18,1.34,1.22,2
19000,33.07,24.25,101.89,400,69,2.14,1.48,2.17,1.33,1.21,2
19500,32.97,24.31,101.90,400,48,2.14,1.48,2.17,1.31,1.22,2
20000,32.91,24.37,101.90,400,24,2.14,1.48,2.17,1.36,1.24,2
20500,33.06,24.47,101.89,400,26,2.15,1.48,2.17,1.54,1.31,2
21000,33.44,24.62,101.89,400,50,2.15,1.48,2.18,1.67,1.37,2
21500,33.60,24.75,101.89,400,55,2.15,1.49,2.18,1.57,1.33,2
22000,33.37,24.75,101.90,400,32,2.14,1.48,2.18,1.46,1.29,2
22500,33.22,24.75,101.90,400,15,2.14,1.48,2.17,1.45,1.29,2
23000,33.13,24.76,101.89,400,0,2.14,1.48,2.17,1.40,1.28,2
23500,33.03,24.79,101.89,400,0,2.14,1.48,2.17,1.39,1.30,2
24000,32.95,24.82,101.90,400,0,2.14,1.48,2.17,1.42,1.37,2
24500,33.06,24.90,101.89,400,15,2.15,1.48,2.18,1.61,1.45,2
25000,33.36,25.00,101.89,400,86,2.15,1.48,2.18,1.73,1.50,2
25500,33.75,25.13,101.90,437,249,2.16,1.49,2.19,1.84,1.54,2
26000,34.36,25.26,101.90,821,730,2.18,1.50,2.21,2.10,1.64,2
26500,34.98,25.38,101.89,822,1118,2.19,1.51,2.22,2.12,1.65,2
27000,35.45,25.45,101.89,1123,1771,2.20,1.52,2.23,2.30,1.74,2
27500,35.69,25.41,101.89,725,1695,2.21,1.52,2.24,2.21,1.78,2
28000,36.06,25.36,101.89,654,1729,2.22,1.52,2.24,2.17,1.77,2
28500,36.47,25.30,101.90,644,1709,2.22,1.53,2.25,2.27,1.80,2
29000,36.90,25.24,101.90,919,2251,2.24,1.54,2.26,2.36,1.84,2
29500,37.21,25.14,101.90,811,2284,2.24,1.54,2.26,2.30,1.87,2
30000,37.59,25.00,101.90,1289,2824,2.25,1.55,2.27,2.35,1.93,2
30500,38.15,24.83,101.90,1511,3404,2.25,1.55,2.28,2.38,1.94,2
31000,38.91,24.68,101.90,1759,4046,2.26,1.56,2.29,2.41,1.93,2
31500,39.44,24.45,101.90,2273,5119,2.27,1.56,2.30,2.42,1.95,2
32000,39.79,24.10,101.90,3728,6784,2.28,1.57,2.31,2.48,1.95,2
32500,40.15,23.75,101.90,2590,6343,2.28,1.57,2.31,2.39,2.04,2
33000,40.32,23.32,101.90,1844,5485,2.28,1.57,2.31,2.33,2.04,2
33500,40.58,22.93,101.90,1132,4021,2.28,1.57,2.31,2.22,2.04,2
34000,40.66,22.50,101.90,827,3073,2.27,1.57,2.30,2.18,2.03,2
34500,40.94,22.15,101.90,1216,3454,2.28,1.57,2.31,2.25,2.07,2
35000,41.21,21.84,101.90,1188,3600,2.28,1.57,2.31,2.23,2.06,2
35500,41.34,21.53,101.90,743,2911,2.27,1.57,2.30,2.09,2.09,2
36000,41.31,21.19,101.91,691,2646,2.28,1.57,2.30,2.08,2.09,2
36500,41.45,20.92,101.90,556,2408,2.27,1.57,2.30,2.08,2.06,2
37000,41.67,20.66,101.91,1079,2907,2.28,1.57,2.31,2.23,2.02,2
37500,41.88,20.48,101.91,884,2946,2.28,1.58,2.31,2.25,2.08,2
38000,42.00,20.36,101.90,973,3013,2.28,1.58,2.31,2.20,2.16,2
38500,42.14,20.22,101.90,890,2969,2.29,1.58,2.31,2.27,2.12,2
39000,42.30,20.12,101.90,1145,3029,2.29,1.58,2.31,2.23,2.09,2
39500,42.65,20.03,101.90,2111,4959,2.30,1.59,2.32,2.39,2.14,2
40000,43.04,19.97,101.90,2042,5250,2.30,1.60,2.33,2.35,2.18,2
40500,43.37,19.91,101.90,2487,5907,2.31,1.61,2.34,2.41,2.24,2
41000,43.65,19.88,101.90,1988,5596,2.32,1.61,2.34,2.41,2.19,2
41500,44.05,19.83,101.90,2999,6408,2.32,1.62,2.35,2.43,2.13,2
42000,44.32,19.67,101.90,5354,9580,2.33,1.62,2.35,2.43,2.15,2
42500,44.77,19.49,101.90,7531,12901,2.34,1.64,2.37,2.51,2.06,2
43000,45.30,19.32,101.90,5116,11618,2.35,1.65,2.38,2.56,1.98,2
43500,45.50,19.12,101.90,3478,8331,2.34,1.64,2.38,2.41,1.92,2
44000,45.65,18.85,101.90,2064,6453,2.33,1.64,2.37,2.33,1.90,2
44500,45.64,18.60,101.91,1111,4628,2.32,1.63,2.36,2.20,1.93,2
45000,45.49,18.31,101.91,761,3309,2.32,1.62,2.35,2.16,1.92,2
45500,45.57,18.10,101.90,894,3414,2.32,1.63,2.36,2.39,1.99,2
46000,45.46,17.93,101.90,807,3128,2.33,1.62,2.36,2.28,1.96,2
46500,45.84,17.97,101.90,1569,4191,2.33,1.63,2.37,2.40,2.15,2
47000,46.21,18.13,101.91,2423,5796,2.35,1.65,2.38,2.48,2.25,2
47500,46.46,18.22,101.91,2283,5957,2.35,1.65,2.38,2.43,2.26,2
48000,46.96,18.27,101.90,3314,6699,2.36,1.67,2.39,2.51,2.26,2
48500,47.38,18.19,101.91,4111,8274,2.37,1.68,2.41,2.56,2.28,2
49000,47.90,18.17,101.90,4592,9760,2.38,1.68,2.41,2.55,2.32,2
49500,48.36,18.17,101.90,5649,10773,2.39,1.70,2.43,2.61,2.38,2
50000,48.82,18.10,101.90,6223,11854,2.40,1.71,2.44,2.63,2.44,2
50500,49.20,18.08,101.90,7045,12608,2.40,1.72,2.45,2.66,2.40,2
51000,49.80,18.11,101.90,8383,13756,2.41,1.73,2.45,2.63,2.38,2
51500,50.27,17.96,101.90,10943,16075,2.41,1.73,2.46,2.62,2.36,2
52000,50.69,17.57,101.90,15943,24724,2.43,1.74,2.47,2.66,2.27,2
52500,51.25,17.20,101.91,12138,22006,2.42,1.75,2.47,2.59,2.30,2
53000,51.52,16.76,101.91,10908,18659,2.42,1.75,2.47,2.55,2.33,2
53500,51.88,16.35,101.90,10167,16882,2.43,1.75,2.48,2.59,2.46,2
54000,52.30,16.07,101.90,9935,16244,2.44,1.76,2.48,2.59,2.54,2
54500,52.83,15.90,101.90,10282,17265,2.44,1.77,2.49,2.59,2.51,2
55000,53.26,15.70,101.90,9819,16289,2.44,1.77,2.49,2.58,2.49,2
55500,53.55,15.47,101.91,8058,14859,2.45,1.77,2.49,2.57,2.50,2
56000,54.00,15.33,101.91,8140,14432,2.45,1.78,2.50,2.59,2.52,2
56500,54.41,15.30,101.90,7306,13970,2.45,1.78,2.49,2.55,2.51,2
