timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,25.82,56.37,102.13,712,241,1.67,1.20,1.66,1.50,1
500,26.23,56.39,102.14,713,241,1.67,1.20,1.66,1.50,1
1000,26.38,56.24,102.14,705,237,1.67,1.20,1.66,1.50,1
1500,26.47,56.06,102.14,706,237,1.66,1.20,1.65,1.50,1
2000,26.53,55.84,102.14,697,240,1.66,1.20,1.65,1.50,1
2500,26.57,55.66,102.14,701,235,1.67,1.20,1.65,1.49,1
3000,26.61,55.48,102.14,709,241,1.66,1.20,1.65,1.49,1
3500,26.63,55.32,102.14,701,232,1.67,1.20,1.66,1.50,1
4000,26.65,55.14,102.14,708,240,1.67,1.20,1.65,1.50,1
4500,26.68,54.97,102.14,702,235,1.67,1.20,1.65,1.49,1
5000,26.70,54.85,102.14,704,237,1.66,1.20,1.65,1.50,1
5500,26.72,54.69,102.14,710,234,1.67,1.20,1.66,1.50,1
6000,26.74,54.58,102.14,706,232,1.66,1.20,1.65,1.50,1
6500,26.75,54.45,102.14,711,239,1.66,1.20,1.65,1.50,1
7000,26.77,54.35,102.14,790,251,1.67,1.20,1.66,1.67,1
7500,26.81,54.32,102.14,1876,537,1.71,1.21,1.70,2.31,1
8000,26.83,54.27,102.14,2006,838,1.72,1.21,1.71,2.24,1
8500,26.86,54.24,102.14,1936,1037,1.72,1.21,1.72,2.17,1
9000,26.87,54.23,102.14,2048,1253,1.73,1.21,1.73,2.15,1
9500,26.91,54.21,102.14,2482,1593,1.74,1.22,1.74,2.14,1
10000,26.95,54.20,102.14,3576,2334,1.75,1.22,1.75,2.17,1
10500,26.99,54.21,102.14,4067,3173,1.76,1.22,1.76,2.26,1
11000,27.00,54.19,102.14,5122,4753,1.77,1.23,1.78,2.34,2
11500,27.02,54.18,102.14,4325,5300,1.78,1.23,1.79,2.41,2
12000,27.01,54.12,102.14,2811,4242,1.78,1.23,1.80,2.34,2
12500,27.11,54.08,102.14,3787,4613,1.81,1.23,1.82,2.49,2
13000,27.29,54.12,102.14,7363,7055,1.84,1.24,1.85,2.64,2
13500,27.42,54.15,102.14,4643,6609,1.85,1.24,1.87,2.62,2
14000,27.57,54.15,102.14,3512,5791,1.86,1.25,1.88,2.59,2
14500,27.72,54.18,102.14,2607,4904,1.86,1.25,1.89,2.48,2
15000,27.90,54.18,102.14,2018,4031,1.87,1.25,1.89,2.45,2
15500,28.12,54.17,102.14,2435,3981,1.88,1.26,1.91,2.50,2
16000,28.38,54.18,102.14,3068,4367,1.89,1.27,1.92,2.53,2
16500,28.57,54.14,102.14,4138,5320,1.91,1.28,1.94,2.55,2
17000,28.74,54.03,102.14,4347,5741,1.92,1.29,1.95,2.54,2
17500,28.91,53.88,102.14,4430,6077,1.93,1.30,1.96,2.53,2
18000,29.04,53.68,102.14,5522,6819,1.95,1.31,1.97,2.60,2
18500,29.23,53.45,102.14,5846,7577,1.97,1.32,1.99,2.62,2
19000,29.48,53.23,102.14,6530,8567,1.98,1.33,2.01,2.63,2
19500,29.56,52.95,102.14,7369,9794,1.99,1.34,2.02,2.60,2
20000,29.74,52.65,102.14,7728,10166,2.00,1.35,2.03,2.61,2
20500,29.82,52.29,102.14,5875,9220,2.00,1.35,2.04,2.56,2
21000,30.04,51.92,102.14,4955,8533,2.01,1.36,2.05,2.55,2
21500,30.20,51.57,102.14,4899,8072,2.01,1.37,2.05,2.48,2
22000,30.43,51.18,102.14,5336,8387,2.02,1.37,2.06,2.53,2
22500,30.52,50.79,102.14,5557,8623,2.03,1.38,2.07,2.54,2
23000,30.69,50.44,102.14,5024,8207,2.04,1.38,2.08,2.52,2
23500,31.01,50.09,102.14,4369,7060,2.04,1.39,2.08,2.48,2
24000,31.36,49.76,102.14,5916,8556,2.05,1.40,2.09,2.57,2
24500,31.69,49.41,102.14,6223,9197,2.06,1.41,2.11,2.58,2
25000,31.97,49.03,102.14,4906,8623,2.06,1.41,2.11,2.54,2
25500,32.20,48.60,102.14,4670,7824,2.07,1.42,2.11,2.51,2
26000,32.46,48.17,102.14,3966,6819,2.07,1.42,2.11,2.46,2
26500,32.67,47.68,102.14,3898,6538,2.07,1.42,2.11,2.46,2
27000,32.83,47.18,102.14,3515,6182,2.07,1.42,2.12,2.42,2
27500,33.04,46.68,102.14,3375,5962,2.07,1.42,2.12,2.45,2
28000,33.26,46.22,102.14,4020,6157,2.08,1.42,2.12,2.44,2
28500,33.58,45.75,102.14,4528,6599,2.08,1.43,2.12,2.48,2
29000,33.82,45.28,102.14,4381,6619,2.08,1.43,2.12,2.44,2
29500,34.04,44.80,102.14,5504,7520,2.09,1.43,2.13,2.47,2
30000,34.32,44.38,102.14,7531,9749,2.10,1.44,2.14,2.57,2
