timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,35.94,20.90,101.90,400,0,2.17,1.54,2.21,1.23,1.16,1
500,36.41,20.98,101.91,400,0,2.17,1.54,2.21,1.25,1.16,1
1000,36.58,20.95,101.91,400,0,2.17,1.54,2.21,1.25,1.15,1
1500,36.65,20.91,101.90,400,0,2.17,1.54,2.21,1.25,1.16,1
2000,36.59,20.84,101.91,400,0,2.17,1.54,2.21,1.27,1.16,1
2500,36.57,20.81,101.90,400,0,2.17,1.54,2.21,1.27,1.16,1
3000,36.55,20.77,101.91,400,0,2.17,1.54,2.21,1.26,1.16,1
3500,36.36,20.71,101.91,400,0,2.17,1.54,2.21,1.24,1.15,1
4000,36.18,20.69,101.90,400,0,2.16,1.53,2.21,1.22,1.15,1
4500,36.13,20.70,101.90,400,0,2.16,1.53,2.20,1.23,1.15,1
5000,36.16,20.73,101.90,400,0,2.17,1.54,2.21,1.34,1.16,1
5500,36.13,20.76,101.90,400,0,2.16,1.53,2.21,1.32,1.16,1
6000,36.06,20.79,101.90,400,0,2.17,1.54,2.21,1.35,1.28,1
6500,35.97,20.88,101.90,400,0,2.18,1.54,2.22,1.68,1.28,1
7000,35.95,20.98,101.90,400,47,2.18,1.54,2.22,1.62,1.29,1
7500,35.98,21.11,101.90,400,66,2.19,1.54,2.23,1.58,1.28,1
8000,35.96,21.25,101.90,400,100,2.19,1.54,2.23,1.78,1.45,1
8500,35.96,21.43,101.90,400,163,2.20,1.55,2.24,1.95,1.43,1
9000,35.83,21.58,101.90,400,162,2.20,1.54,2.24,1.68,1.37,1
9500,35.79,21.69,101.90,400,128,2.19,1.54,2.23,1.51,1.35,1
10000,35.69,21.71,101.90,400,103,2.19,1.53,2.23,1.44,1.34,1
10500,35.58,21.72,101.90,400,70,2.18,1.53,2.23,1.37,1.31,1
11023,35.40,21.70,101.91,400,39,2.18,1.53,2.22,1.34,1.29,2
11523,35.38,21.72,101.91,400,14,2.18,1.53,2.22,1.31,1.28,2
12023,35.43,21.75,101.90,400,0,2.17,1.52,2.22,1.30,1.31,2
12523,35.44,21.78,101.90,400,0,2.17,1.53,2.22,1.37,1.33,2
13023,35.46,21.80,101.90,400,0,2.18,1.52,2.21,1.35,1.36,2
13523,35.38,21.81,101.91,400,0,2.17,1.52,2.21,1.38,1.41,2
14023,35.36,21.82,101.91,400,0,2.18,1.53,2.21,1.53,1.47,2
14523,35.61,21.90,101.90,400,0,2.18,1.53,2.22,1.62,1.53,2
15023,35.87,21.97,101.91,400,39,2.19,1.53,2.23,1.77,1.62,2
15523,36.19,22.04,101.90,400,92,2.20,1.54,2.23,1.78,1.59,2
16023,36.55,22.08,101.91,400,155,2.20,1.55,2.24,1.88,1.60,2
16523,36.81,22.08,101.91,400,180,2.21,1.55,2.24,1.81,1.61,2
17023,36.95,22.05,101.91,400,196,2.21,1.54,2.24,1.78,1.58,2
17523,36.90,21.93,101.91,400,199,2.21,1.55,2.24,1.72,1.58,2
18023,36.97,21.85,101.91,400,241,2.21,1.55,2.25,1.85,1.60,2
18523,37.26,21.80,101.90,400,291,2.22,1.55,2.25,1.82,1.59,2
19023,37.31,21.69,101.91,400,294,2.22,1.55,2.25,1.74,1.63,2
19523,37.30,21.58,101.91,400,269,2.21,1.55,2.25,1.65,1.61,2
20023,37.32,21.49,101.91,400,261,2.22,1.54,2.25,1.76,1.62,2
20523,37.51,21.41,101.90,400,285,2.22,1.55,2.25,1.75,1.64,2
21023,37.54,21.28,101.91,400,322,2.21,1.55,2.25,1.73,1.62,2
21523,37.55,21.20,101.91,400,465,2.22,1.55,2.25,1.89,1.62,2
22023,37.85,21.15,101.90,400,455,2.22,1.55,2.25,1.81,1.60,2
22523,38.00,21.10,101.90,400,404,2.22,1.54,2.25,1.66,1.58,2
23023,38.00,21.01,101.91,400,479,2.22,1.55,2.25,1.75,1.60,2
23523,38.12,20.91,101.91,400,556,2.22,1.55,2.25,1.85,1.66,2
24023,38.28,20.85,101.90,400,687,2.22,1.55,2.26,1.85,1.70,2
24523,38.42,20.76,101.90,400,659,2.22,1.55,2.25,1.77,1.69,2
25023,38.65,20.68,101.91,400,586,2.22,1.55,2.25,1.72,1.70,2
25523,39.05,20.60,101.91,400,592,2.23,1.55,2.26,1.82,1.65,2
26023,39.36,20.50,101.91,400,576,2.23,1.55,2.26,1.89,1.72,2
26523,39.61,20.41,101.91,400,625,2.23,1.55,2.26,1.88,1.72,2
27023,39.81,20.27,101.91,400,611,2.23,1.55,2.26,1.87,1.75,2
27523,40.00,20.14,101.91,400,686,2.23,1.55,2.26,1.86,1.80,2
28023,40.37,20.01,101.91,400,707,2.24,1.56,2.27,1.90,1.81,2
28523,40.56,19.88,101.91,400,652,2.23,1.56,2.27,1.84,1.80,2
29023,40.57,19.69,101.91,400,602,2.23,1.55,2.26,1.78,1.83,2
29523,40.79,19.55,101.91,400,699,2.24,1.56,2.27,1.90,1.84,2
30023,41.08,19.43,101.91,400,730,2.24,1.56,2.27,1.85,1.85,2
30523,41.33,19.30,101.91,400,692,2.24,1.56,2.27,1.80,1.88,2
31023,41.58,19.12,101.91,400,700,2.24,1.56,2.27,1.78,1.89,2
31523,41.57,18.92,101.91,400,654,2.24,1.56,2.27,1.75,1.88,2
32023,41.64,18.74,101.91,400,688,2.24,1.56,2.26,1.80,1.83,2
32523,41.81,18.59,101.91,400,766,2.24,1.56,2.27,1.87,1.89,2
33023,42.00,18.48,101.91,400,860,2.25,1.56,2.27,1.94,1.86,2
33523,42.17,18.39,101.91,400,870,2.25,1.57,2.28,1.94,1.89,2
34023,42.36,18.31,101.91,554,1048,2.25,1.57,2.28,2.02,1.89,2
34523,42.56,18.23,101.91,561,1127,2.25,1.57,2.28,1.98,1.87,2
35023,42.76,18.10,101.90,459,1105,2.25,1.57,2.28,1.89,1.90,2
35523,42.97,18.00,101.91,400,1057,2.26,1.58,2.29,1.96,1.89,2
36023,43.28,17.92,101.91,499,1119,2.26,1.58,2.29,1.97,1.92,2
36523,43.51,17.82,101.91,804,1540,2.27,1.59,2.29,2.09,1.94,2
37023,43.73,17.76,101.91,752,1676,2.27,1.58,2.30,2.09,1.99,2
37523,44.08,17.67,101.91,607,1485,2.27,1.59,2.30,2.01,1.98,2
38023,44.31,17.57,101.91,740,1656,2.28,1.60,2.30,2.14,1.95,2
38523,44.55,17.47,101.91,605,1561,2.27,1.59,2.30,2.03,2.00,2
39023,44.85,17.36,101.91,648,1549,2.28,1.60,2.31,2.11,2.03,2
39523,45.25,17.26,101.91,502,1383,2.28,1.60,2.31,1.97,1.99,2
40023,45.35,17.03,101.91,400,1228,2.28,1.59,2.30,1.95,2.05,2
40523,45.69,16.83,101.91,453,1199,2.27,1.60,2.30,1.94,2.05,2
41023,46.07,16.63,101.91,483,1233,2.28,1.60,2.31,1.99,2.05,2
41523,46.48,16.46,101.91,400,1160,2.27,1.60,2.30,1.94,2.01,2
42023,46.58,16.18,101.91,400,1113,2.28,1.60,2.31,1.95,2.08,2
42523,46.80,16.00,101.91,693,1312,2.29,1.61,2.31,2.05,2.14,2
43023,47.18,15.96,101.91,679,1443,2.29,1.61,2.32,2.08,2.12,2
43523,47.63,15.88,101.91,743,1651,2.29,1.62,2.32,2.11,2.12,2
44023,48.11,15.78,101.91,751,1720,2.29,1.62,2.32,2.05,2.08,2
44523,48.27,15.55,101.91,652,1598,2.29,1.62,2.32,2.05,2.08,2
45023,48.86,15.41,101.91,643,1598,2.30,1.63,2.33,2.12,2.11,2
45523,49.46,15.32,101.91,1213,2154,2.31,1.64,2.34,2.24,2.13,2
46023,49.89,15.23,101.91,1027,2228,2.31,1.64,2.34,2.19,2.12,2
46523,50.18,15.03,101.91,896,2205,2.31,1.64,2.34,2.12,2.07,2
47023,50.69,14.88,101.91,1034,2297,2.32,1.65,2.35,2.22,2.12,2
47523,51.15,14.74,101.91,1060,2383,2.33,1.65,2.36,2.26,2.18,2
48023,51.40,14.58,101.91,1372,2623,2.33,1.66,2.36,2.30,2.15,2
48523,51.60,14.39,101.91,1291,2685,2.33,1.66,2.36,2.21,2.09,2
49023,51.83,14.20,101.91,1301,2729,2.34,1.66,2.36,2.18,2.12,2
49523,52.32,14.07,101.91,1340,2798,2.34,1.67,2.37,2.20,2.17,2
50023,52.34,13.78,101.91,1193,2683,2.33,1.66,2.36,2.10,2.18,2
50523,52.36,13.50,101.91,1214,2678,2.33,1.66,2.36,2.11,2.14,2
51023,52.64,13.26,101.91,913,2480,2.33,1.66,2.36,2.05,2.13,2
51523,53.01,13.02,101.90,1166,2597,2.34,1.67,2.37,2.19,2.18,2
52023,53.48,12.92,101.91,1515,2856,2.34,1.68,2.37,2.17,2.22,2
52523,53.92,12.84,101.91,1324,2863,2.34,1.68,2.37,2.09,2.12,2
