timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,33.01,25.52,101.91,400,0,2.17,1.51,2.21,1.14,1.07,1
500,33.30,25.55,101.91,400,0,2.17,1.51,2.21,1.14,1.08,1
1000,33.47,25.56,101.91,400,0,2.17,1.51,2.21,1.14,1.08,1
1500,33.54,25.53,101.91,400,0,2.17,1.51,2.21,1.14,1.08,1
2000,33.57,25.50,101.91,400,0,2.17,1.51,2.21,1.14,1.07,1
2500,33.59,25.45,101.91,400,0,2.17,1.51,2.21,1.14,1.08,1
3000,33.67,25.41,101.91,400,0,2.17,1.51,2.21,1.14,1.07,1
3500,33.83,25.40,101.91,400,0,2.17,1.51,2.21,1.14,1.07,1
4000,33.82,25.36,101.91,400,0,2.17,1.51,2.21,1.14,1.07,1
4500,33.77,25.31,101.91,400,0,2.17,1.51,2.21,1.14,1.07,1
5000,33.70,25.24,101.91,400,0,2.16,1.51,2.21,1.14,1.07,1
5500,33.74,25.23,101.91,400,0,2.17,1.51,2.21,1.14,1.07,1
6000,33.71,25.18,101.91,400,0,2.17,1.51,2.21,1.15,1.07,1
6500,33.71,25.15,101.91,400,0,2.17,1.51,2.21,1.15,1.08,1
7000,33.69,25.13,101.91,400,0,2.17,1.51,2.20,1.15,1.08,1
7500,33.67,25.10,101.91,400,0,2.17,1.51,2.20,1.15,1.07,1
8000,33.66,25.09,101.91,400,0,2.17,1.51,2.20,1.24,1.09,1
8500,33.64,25.04,101.91,400,0,2.17,1.51,2.20,1.30,1.10,1
9000,33.63,24.99,101.91,400,0,2.17,1.51,2.21,1.27,1.10,1
9500,33.64,24.99,101.91,400,0,2.17,1.51,2.21,1.33,1.10,1
10000,33.63,24.99,101.91,400,0,2.17,1.51,2.21,1.27,1.09,1
10500,33.58,25.02,101.91,400,0,2.17,1.51,2.21,1.24,1.10,1
11000,33.55,25.02,101.91,400,0,2.17,1.50,2.21,1.22,1.09,1
11500,33.45,25.03,101.91,400,0,2.17,1.50,2.21,1.21,1.10,1
12000,33.45,25.08,101.91,400,0,2.17,1.50,2.21,1.21,1.10,1
12500,33.54,25.13,101.91,400,0,2.17,1.50,2.21,1.22,1.11,2
13000,33.48,25.16,101.91,400,0,2.17,1.51,2.21,1.23,1.12,2
13500,33.55,25.23,101.91,400,0,2.17,1.50,2.21,1.27,1.12,2
14000,33.71,25.24,101.91,400,0,2.17,1.50,2.21,1.31,1.16,2
14500,33.76,25.20,101.91,400,0,2.17,1.50,2.21,1.31,1.20,2
15000,33.76,25.18,101.91,400,0,2.17,1.50,2.21,1.30,1.23,2
15500,33.91,25.14,101.91,400,0,2.17,1.50,2.21,1.46,1.23,2
16000,34.24,25.09,101.91,400,0,2.18,1.51,2.21,1.50,1.25,2
16500,34.48,25.00,101.91,400,0,2.18,1.51,2.21,1.47,1.27,2
17000,34.58,24.89,101.91,400,0,2.18,1.51,2.22,1.44,1.28,2
17500,34.60,24.78,101.92,400,2,2.18,1.51,2.22,1.42,1.29,2
18000,34.84,24.70,101.91,400,40,2.18,1.51,2.22,1.45,1.30,2
18500,35.19,24.58,101.91,400,59,2.19,1.51,2.22,1.55,1.30,2
19000,35.54,24.43,101.91,400,87,2.19,1.52,2.22,1.56,1.31,2
19500,35.98,24.27,101.91,400,106,2.19,1.52,2.23,1.58,1.29,2
20000,36.33,24.04,101.92,400,105,2.20,1.52,2.23,1.57,1.26,2
20500,36.45,23.82,101.91,400,81,2.19,1.52,2.23,1.43,1.23,2
21000,36.15,23.53,101.92,400,56,2.19,1.52,2.23,1.32,1.21,2
21500,35.71,23.33,101.92,400,19,2.19,1.51,2.22,1.26,1.20,2
22000,35.38,23.17,101.92,400,0,2.19,1.51,2.22,1.23,1.19,2
22500,35.12,23.10,101.91,400,0,2.18,1.51,2.22,1.21,1.18,2
23000,35.03,23.09,101.92,400,0,2.18,1.51,2.22,1.21,1.18,2
23500,35.00,23.10,101.91,400,0,2.18,1.51,2.21,1.20,1.17,2
24000,34.98,23.13,101.91,400,0,2.18,1.51,2.21,1.20,1.18,2
24500,34.96,23.17,101.91,400,0,2.18,1.51,2.21,1.21,1.18,2
25000,34.93,23.20,101.91,400,0,2.17,1.51,2.21,1.20,1.18,2
25500,35.06,23.27,101.91,400,0,2.18,1.51,2.21,1.25,1.20,2
26000,35.39,23.33,101.91,400,0,2.18,1.51,2.21,1.31,1.21,2
26500,35.67,23.34,101.91,400,0,2.18,1.51,2.21,1.35,1.22,2
27000,35.93,23.33,101.91,400,0,2.18,1.51,2.21,1.38,1.23,2
27500,36.28,23.28,101.91,400,0,2.18,1.51,2.22,1.45,1.25,2
28000,36.61,23.20,101.91,400,0,2.19,1.51,2.22,1.56,1.27,2
28500,37.10,23.11,101.91,400,0,2.19,1.51,2.22,1.58,1.31,2
29000,37.59,22.96,101.91,400,25,2.20,1.52,2.23,1.64,1.34,2
29500,38.00,22.78,101.91,400,84,2.20,1.52,2.23,1.71,1.37,2
30000,38.26,22.56,101.91,400,146,2.21,1.53,2.24,1.78,1.41,2
30500,38.49,22.31,101.91,400,174,2.20,1.53,2.24,1.66,1.41,2
31000,38.79,22.06,101.91,400,188,2.21,1.53,2.24,1.65,1.41,2
31500,39.10,21.82,101.91,400,227,2.21,1.53,2.24,1.73,1.43,2
32000,39.63,21.60,101.91,400,268,2.22,1.53,2.25,1.79,1.46,2
32500,40.01,21.34,101.92,400,329,2.22,1.53,2.25,1.79,1.47,2
33000,40.22,21.05,101.91,400,419,2.22,1.53,2.25,1.82,1.50,2
33500,40.56,20.77,101.91,400,442,2.22,1.54,2.25,1.79,1.49,2
34000,40.85,20.49,101.92,400,394,2.22,1.54,2.25,1.63,1.50,2
34500,41.04,20.20,101.92,400,428,2.23,1.53,2.25,1.70,1.54,2
