timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,29.40,33.75,101.91,400,0,2.14,1.46,2.18,1.53,1.18,1
500,29.79,33.82,101.91,400,0,2.14,1.46,2.18,1.58,1.20,1
1000,29.98,33.79,101.91,400,18,2.14,1.46,2.18,1.52,1.17,1
1500,30.11,33.72,101.91,400,11,2.14,1.45,2.18,1.42,1.16,1
2000,30.23,33.62,101.91,400,0,2.14,1.45,2.18,1.35,1.16,1
2500,30.29,33.47,101.91,400,0,2.14,1.45,2.18,1.32,1.18,1
3000,30.31,33.30,101.91,400,0,2.14,1.45,2.18,1.40,1.21,1
3500,30.30,33.15,101.91,400,34,2.15,1.46,2.18,1.43,1.22,1
4000,30.25,33.03,101.91,400,102,2.15,1.46,2.18,1.50,1.28,1
4500,30.30,32.93,101.91,400,153,2.15,1.46,2.18,1.52,1.24,1
5000,30.29,32.80,101.91,400,124,2.15,1.46,2.18,1.40,1.21,1
5500,30.24,32.70,101.91,400,84,2.15,1.46,2.18,1.33,1.20,1
6000,30.33,32.64,101.91,400,62,2.15,1.45,2.18,1.39,1.21,2
6500,30.55,32.60,101.91,400,45,2.15,1.46,2.18,1.45,1.21,2
7000,30.73,32.52,101.91,400,34,2.15,1.46,2.18,1.50,1.23,2
7500,30.82,32.45,101.91,400,23,2.15,1.46,2.18,1.47,1.23,2
8000,30.90,32.35,101.91,400,33,2.15,1.45,2.19,1.57,1.24,2
8500,31.05,32.27,101.91,400,119,2.15,1.46,2.19,1.66,1.27,2
9000,31.18,32.16,101.91,400,153,2.15,1.46,2.19,1.63,1.30,2
9500,31.32,32.04,101.91,457,214,2.16,1.46,2.19,1.69,1.33,2
10000,31.54,31.91,101.91,559,314,2.16,1.47,2.20,1.81,1.37,2
10500,31.71,31.77,101.91,451,330,2.17,1.47,2.20,1.82,1.38,2
11000,31.95,31.62,101.91,400,311,2.17,1.47,2.21,1.80,1.36,2
11500,32.04,31.43,101.91,400,256,2.17,1.47,2.20,1.68,1.34,2
12000,32.01,31.22,101.91,400,227,2.17,1.47,2.20,1.62,1.36,2
12500,31.95,31.03,101.91,400,202,2.17,1.47,2.20,1.53,1.39,2
13000,31.89,30.85,101.91,400,184,2.16,1.47,2.20,1.53,1.38,2
