timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,27.60,36.52,101.93,400,0,2.06,1.34,2.08,1.16,1.08,1
500,27.98,36.56,101.92,400,0,2.06,1.34,2.08,1.17,1.08,1
1000,28.17,36.54,101.93,400,0,2.06,1.34,2.08,1.17,1.09,1
1500,28.34,36.49,101.93,400,0,2.06,1.34,2.08,1.17,1.08,1
2000,28.54,36.40,101.93,400,0,2.06,1.34,2.08,1.17,1.08,1
2500,28.59,36.29,101.93,400,0,2.06,1.34,2.08,1.17,1.08,1
3000,28.64,36.17,101.93,400,0,2.06,1.34,2.08,1.17,1.09,1
3500,28.79,36.05,101.93,400,0,2.06,1.34,2.08,1.17,1.08,1
4000,28.93,35.95,101.93,400,0,2.06,1.34,2.08,1.17,1.08,1
4500,28.97,35.77,101.93,400,0,2.06,1.34,2.08,1.17,1.09,1
5000,28.94,35.62,101.93,400,0,2.06,1.34,2.08,1.17,1.09,1
5500,28.90,35.47,101.93,400,0,2.06,1.34,2.08,1.17,1.09,1
6000,28.86,35.35,101.93,400,0,2.06,1.34,2.08,1.16,1.09,1
6500,28.82,35.22,101.93,400,0,2.06,1.34,2.07,1.17,1.08,1
7000,28.78,35.13,101.93,400,0,2.06,1.34,2.07,1.17,1.08,1
7500,28.76,35.03,101.93,400,0,2.06,1.34,2.07,1.17,1.08,1
8000,28.74,34.98,101.93,400,0,2.06,1.34,2.07,1.16,1.09,1
8500,28.73,34.92,101.93,400,0,2.05,1.34,2.07,1.17,1.08,1
9000,28.78,34.88,101.93,400,0,2.05,1.34,2.07,1.17,1.09,1
9500,28.85,34.85,101.93,400,0,2.06,1.34,2.07,1.17,1.09,1
10000,28.92,34.81,101.93,400,0,2.06,1.34,2.07,1.17,1.09,1
10500,28.97,34.76,101.93,400,0,2.06,1.34,2.07,1.18,1.11,1
11000,28.97,34.71,101.93,400,0,2.06,1.34,2.08,1.27,1.14,1
11500,28.99,34.70,101.93,400,0,2.06,1.34,2.08,1.29,1.14,1
12000,28.98,34.67,101.93,400,0,2.07,1.34,2.08,1.33,1.16,1
12500,29.01,34.66,101.93,400,0,2.06,1.34,2.08,1.37,1.15,1
13000,29.01,34.66,101.93,400,0,2.06,1.34,2.08,1.30,1.15,1
13500,28.98,34.63,101.93,400,0,2.06,1.34,2.08,1.25,1.14,1
14000,28.94,34.62,101.93,400,0,2.06,1.34,2.08,1.24,1.15,1
14500,28.99,34.58,101.93,400,0,2.06,1.34,2.08,1.28,1.17,2
15000,29.04,34.59,101.93,400,0,2.06,1.34,2.08,1.27,1.21,2
15500,29.07,34.57,101.93,400,0,2.06,1.34,2.08,1.27,1.22,2
16000,29.12,34.56,101.93,400,0,2.06,1.34,2.08,1.34,1.25,2
16500,29.15,34.54,101.93,400,0,2.07,1.34,2.08,1.34,1.28,2
17000,29.29,34.50,101.93,400,0,2.07,1.34,2.09,1.44,1.30,2
17500,29.42,34.48,101.93,400,0,2.07,1.34,2.09,1.37,1.34,2
18000,29.53,34.46,101.93,400,0,2.07,1.34,2.09,1.39,1.30,2
18500,29.66,34.41,101.93,400,0,2.07,1.34,2.09,1.35,1.31,2
19000,29.64,34.31,101.93,400,0,2.07,1.34,2.09,1.32,1.31,2
19500,29.63,34.23,101.93,400,0,2.07,1.34,2.09,1.30,1.31,2
20000,29.79,34.16,101.94,400,0,2.07,1.34,2.09,1.32,1.30,2
20500,29.82,34.08,101.93,400,0,2.07,1.34,2.09,1.30,1.31,2
21000,29.92,34.00,101.93,400,0,2.07,1.34,2.09,1.35,1.31,2
21500,30.18,33.95,101.94,400,0,2.07,1.34,2.09,1.36,1.29,2
22000,30.37,33.87,101.93,400,0,2.07,1.35,2.09,1.35,1.29,2
22500,30.45,33.75,101.93,400,0,2.07,1.35,2.09,1.34,1.29,2
23000,30.65,33.61,101.93,400,0,2.08,1.35,2.09,1.39,1.30,2
23500,30.94,33.49,101.93,400,0,2.08,1.35,2.10,1.44,1.31,2
24000,31.12,33.36,101.93,400,0,2.08,1.35,2.10,1.47,1.32,2
24500,31.33,33.21,101.93,400,0,2.08,1.35,2.10,1.49,1.33,2
25000,31.48,33.03,101.94,400,0,2.08,1.35,2.10,1.44,1.31,2
25500,31.58,32.83,101.93,400,0,2.09,1.35,2.10,1.43,1.34,2
26000,31.86,32.64,101.93,400,13,2.09,1.36,2.11,1.51,1.36,2
26500,32.17,32.45,101.94,400,24,2.09,1.36,2.11,1.50,1.35,2
27000,32.46,32.24,101.94,400,15,2.09,1.36,2.11,1.46,1.37,2
27500,32.65,32.00,101.93,400,13,2.09,1.36,2.11,1.45,1.36,2
28000,32.77,31.73,101.93,400,2,2.09,1.36,2.11,1.40,1.34,2
28500,32.95,31.45,101.93,400,0,2.09,1.36,2.11,1.42,1.34,2
29000,33.25,31.18,101.93,400,0,2.09,1.36,2.11,1.42,1.32,2
29500,33.53,30.90,101.93,400,0,2.09,1.36,2.11,1.43,1.33,2
30000,33.74,30.61,101.93,400,0,2.09,1.36,2.11,1.45,1.38,2
30500,33.91,30.32,101.93,400,17,2.10,1.36,2.11,1.48,1.40,2
31000,34.24,30.06,101.93,400,53,2.10,1.37,2.12,1.59,1.40,2
31500,34.66,29.82,101.93,400,70,2.11,1.37,2.12,1.59,1.39,2
