timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,44.18,13.73,102.08,745,1086,2.14,1.60,2.20,1.59,1
500,44.50,13.75,102.08,708,1051,2.13,1.60,2.20,1.55,1
1000,44.69,13.70,102.08,710,1038,2.13,1.60,2.20,1.54,1
1500,44.91,13.65,102.08,702,1021,2.13,1.60,2.19,1.55,1
2000,45.00,13.57,102.09,709,1008,2.13,1.60,2.19,1.54,1
2500,45.09,13.54,102.09,693,1001,2.13,1.60,2.19,1.53,1
3000,44.90,13.48,102.09,681,1000,2.13,1.59,2.19,1.52,1
3500,44.80,13.45,102.08,687,993,2.13,1.59,2.19,1.52,1
4000,44.80,13.42,102.08,696,991,2.12,1.59,2.18,1.55,1
4500,44.82,13.40,102.10,654,940,2.12,1.59,2.18,1.53,1
5000,44.66,13.38,102.09,631,916,2.12,1.59,2.18,1.51,1
5500,44.52,13.39,102.09,618,876,2.12,1.59,2.18,1.50,1
6000,44.50,13.42,102.08,620,861,2.12,1.58,2.18,1.49,1
6500,44.63,13.49,102.08,634,838,2.12,1.58,2.18,1.50,1
7000,44.45,13.52,102.08,639,818,2.12,1.58,2.18,1.49,1
7500,44.24,13.55,102.10,644,817,2.11,1.58,2.17,1.48,1
8000,43.92,13.60,102.09,642,797,2.11,1.58,2.17,1.48,1
8500,43.74,13.65,102.09,744,869,2.12,1.58,2.17,1.55,1
9000,43.68,13.71,102.08,841,1000,2.12,1.58,2.18,1.66,1
9500,43.88,13.79,102.08,851,1065,2.12,1.58,2.18,1.70,1
10000,43.97,13.83,102.09,809,1074,2.12,1.58,2.18,1.68,1
10500,43.79,13.88,102.09,789,1055,2.12,1.58,2.18,1.66,1
11000,43.85,13.97,102.08,764,1060,2.12,1.58,2.18,1.65,1
11500,43.90,14.04,102.08,782,1077,2.12,1.57,2.17,1.64,1
12076,43.91,14.09,102.08,826,1127,2.12,1.57,2.18,1.66,2
12576,44.03,14.12,102.09,860,1175,2.12,1.57,2.18,1.70,2
13076,43.94,14.12,102.09,891,1208,2.12,1.57,2.18,1.71,2
13576,44.04,14.10,102.08,926,1261,2.12,1.57,2.18,1.68,2
14076,44.20,14.09,102.09,931,1275,2.12,1.57,2.18,1.69,2
14576,44.15,14.07,102.09,1044,1335,2.12,1.58,2.18,1.75,2
15076,44.11,14.06,102.08,1095,1485,2.13,1.57,2.18,1.78,2
15576,44.23,14.02,102.09,877,1383,2.13,1.57,2.18,1.73,2
16076,44.05,13.98,102.08,777,1291,2.12,1.57,2.17,1.67,2
16576,44.07,13.98,102.09,748,1235,2.12,1.57,2.17,1.65,2
17076,44.02,13.99,102.09,720,1192,2.12,1.56,2.17,1.62,2
17576,43.91,13.99,102.09,746,1183,2.12,1.57,2.17,1.62,2
18076,43.88,14.01,102.08,772,1166,2.12,1.57,2.17,1.62,2
