timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,26.36,42.84,101.84,400,47,1.70,1.19,1.71,0.92,0.99,1
500,26.74,42.80,101.85,400,43,1.70,1.19,1.71,0.91,0.99,1
1000,26.85,42.70,101.85,400,38,1.70,1.18,1.70,0.90,0.98,1
1500,26.91,42.52,101.85,400,38,1.70,1.19,1.71,0.91,1.00,1
2000,26.97,42.38,101.85,400,35,1.70,1.19,1.71,0.92,1.02,1
2500,27.03,42.22,101.85,400,43,1.70,1.19,1.71,0.95,1.02,1
3000,27.14,42.03,101.86,400,43,1.70,1.19,1.71,0.97,1.03,2
3500,27.23,41.85,101.85,400,43,1.70,1.19,1.71,0.97,1.05,2
4000,27.40,41.71,101.85,400,54,1.70,1.19,1.71,0.99,1.07,2
4500,27.49,41.55,101.85,400,59,1.70,1.19,1.71,0.99,1.07,2
5000,27.66,41.38,101.85,400,63,1.71,1.19,1.72,1.05,1.09,2
5500,27.95,41.21,101.85,400,78,1.72,1.19,1.72,1.09,1.10,2
6000,28.23,41.04,101.85,400,91,1.72,1.20,1.73,1.10,1.11,2
6500,28.45,40.82,101.85,400,99,1.72,1.20,1.73,1.07,1.10,2
7000,28.45,40.56,101.85,400,98,1.72,1.20,1.73,1.02,1.10,2
7500,28.49,40.31,101.85,400,116,1.72,1.20,1.73,1.02,1.11,2
8000,28.64,40.07,101.85,400,123,1.72,1.20,1.73,1.03,1.11,2
8500,28.84,39.83,101.85,400,122,1.73,1.20,1.73,1.03,1.11,2
9000,29.02,39.61,101.85,400,127,1.73,1.21,1.73,1.03,1.11,2
9500,29.13,39.34,101.85,400,118,1.72,1.21,1.73,1.00,1.11,2
10000,29.16,39.08,101.85,400,123,1.73,1.20,1.73,0.99,1.11,2
10500,29.34,38.85,101.85,400,121,1.72,1.21,1.73,0.98,1.12,2
11000,29.39,38.62,101.85,400,120,1.72,1.21,1.74,0.98,1.12,2
11500,29.54,38.38,101.85,400,115,1.73,1.21,1.73,0.98,1.11,2
12000,29.52,38.10,101.85,400,111,1.72,1.21,1.73,0.95,1.09,2
12500,29.42,37.85,101.85,400,100,1.72,1.21,1.73,0.93,1.08,2
13000,29.30,37.61,101.85,400,86,1.72,1.21,1.73,0.92,1.07,2
13500,29.20,37.42,101.85,400,90,1.72,1.20,1.73,0.91,1.06,2
14000,29.14,37.23,101.85,400,76,1.72,1.20,1.73,0.91,1.06,2
14500,29.18,37.10,101.86,400,77,1.72,1.20,1.72,0.91,1.06,2
15000,29.20,36.98,101.85,400,76,1.72,1.20,1.73,0.91,1.06,2
15500,29.25,36.87,101.85,400,69,1.72,1.20,1.72,0.92,1.06,2
16000,29.23,36.77,101.85,400,72,1.72,1.20,1.73,0.92,1.07,2
16500,29.26,36.70,101.85,400,66,1.72,1.21,1.72,0.93,1.07,2
17000,29.41,36.65,101.85,400,69,1.72,1.21,1.72,0.93,1.07,2
17500,29.42,36.59,101.85,400,68,1.72,1.21,1.73,0.92,1.07,2
18000,29.43,36.52,101.85,400,63,1.72,1.20,1.72,0.92,1.06,2
18500,29.43,36.46,101.85,400,55,1.72,1.20,1.72,0.91,1.07,2
19000,29.46,36.38,101.85,400,57,1.72,1.20,1.72,0.92,1.07,2
19500,29.51,36.33,101.85,400,55,1.72,1.20,1.72,0.92,1.06,2
20000,29.46,36.25,101.85,400,53,1.71,1.20,1.72,0.91,1.06,2
20500,29.47,36.20,101.85,400,48,1.71,1.21,1.72,0.92,1.07,2
21000,29.69,36.17,101.85,400,49,1.71,1.20,1.72,0.93,1.09,2
21500,30.00,36.13,101.85,400,60,1.72,1.20,1.73,0.99,1.10,2
22000,30.31,36.06,101.85,400,74,1.72,1.20,1.73,1.03,1.12,2
22500,30.50,35.95,101.85,400,87,1.72,1.21,1.73,1.01,1.14,2
23000,30.71,35.81,101.85,400,97,1.72,1.21,1.73,1.03,1.16,2
23500,31.03,35.67,101.85,400,113,1.73,1.21,1.73,1.06,1.16,2
24000,31.38,35.48,101.85,400,127,1.73,1.21,1.74,1.07,1.18,2
24500,31.81,35.30,101.85,400,156,1.74,1.21,1.74,1.14,1.21,2
25000,32.34,35.06,101.85,400,182,1.74,1.21,1.75,1.16,1.22,2
25500,33.06,34.79,101.85,400,258,1.75,1.22,1.76,1.35,1.21,2
26000,33.16,34.40,101.85,400,357,1.75,1.22,1.77,1.25,1.19,2
26500,32.85,33.90,101.85,400,389,1.75,1.22,1.77,1.21,1.16,2
27000,32.63,33.45,101.86,400,452,1.75,1.22,1.77,1.22,1.14,2
27500,32.52,33.07,101.85,400,496,1.75,1.22,1.77,1.16,1.13,2
28000,32.61,32.76,101.85,470,635,1.76,1.22,1.78,1.36,1.14,2
28500,33.22,32.57,101.85,433,760,1.77,1.23,1.79,1.40,1.17,2
29000,33.94,32.35,101.85,400,795,1.77,1.23,1.79,1.35,1.19,2
29500,34.61,32.07,101.85,400,844,1.78,1.23,1.80,1.38,1.23,2
30000,35.47,31.76,101.85,400,949,1.79,1.24,1.81,1.41,1.26,2
30500,35.96,31.33,101.85,400,993,1.80,1.24,1.81,1.43,1.28,2
31000,36.38,30.83,101.86,435,1115,1.80,1.24,1.82,1.45,1.31,2
31500,36.80,30.31,101.85,454,1207,1.81,1.25,1.83,1.51,1.34,2
32000,37.12,29.76,101.86,408,1236,1.81,1.25,1.83,1.43,1.31,2
32500,36.99,29.15,101.86,400,1194,1.81,1.25,1.83,1.34,1.30,2
33000,36.73,28.56,101.86,400,1125,1.80,1.25,1.83,1.21,1.29,2
33500,36.85,28.09,101.86,400,1068,1.80,1.25,1.82,1.21,1.31,2
34000,36.90,27.68,101.85,400,1047,1.80,1.25,1.82,1.19,1.34,2
34500,37.09,27.33,101.86,400,988,1.80,1.25,1.82,1.19,1.33,2
35000,37.17,26.97,101.85,400,942,1.80,1.25,1.82,1.15,1.36,2
35500,37.59,26.69,101.85,400,944,1.80,1.25,1.82,1.20,1.35,2
36000,38.04,26.40,101.85,400,996,1.80,1.25,1.83,1.27,1.40,2
36500,38.37,26.12,101.86,400,1009,1.81,1.25,1.83,1.31,1.38,2
