timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,31.38,29.96,102.15,508,306,2.00,1.51,1.99,1.44,1
500,31.71,30.03,102.15,497,299,2.00,1.51,1.99,1.44,1
1000,31.79,30.01,102.15,508,300,2.00,1.51,1.99,1.44,1
1500,31.85,29.99,102.15,521,309,2.00,1.51,1.99,1.45,1
2000,31.95,29.97,102.15,532,311,2.00,1.51,1.99,1.46,1
2500,31.97,29.92,102.15,878,458,2.00,1.51,1.99,1.50,1
3000,31.96,29.90,102.15,1915,1032,2.01,1.51,2.00,1.65,1
3500,31.99,29.87,102.15,2739,2002,2.01,1.52,2.01,1.93,1
4000,32.05,29.85,102.15,3026,2794,2.03,1.52,2.02,2.15,1
4500,32.21,29.88,102.15,1943,2764,2.03,1.52,2.04,2.16,1
5000,32.33,29.87,102.15,1425,2445,2.03,1.52,2.04,2.12,1
5500,32.33,29.83,102.15,1361,2284,2.03,1.52,2.04,2.03,1
6000,32.27,29.76,102.15,916,1949,2.03,1.51,2.04,1.85,1
6500,32.27,29.70,102.15,2046,2708,2.05,1.52,2.05,2.26,1
7000,32.28,29.65,102.15,3736,4778,2.06,1.52,2.07,2.35,1
7500,32.30,29.61,102.15,3358,5415,2.06,1.52,2.07,2.28,1
8000,32.25,29.57,102.15,1915,4176,2.06,1.52,2.07,2.03,1
8500,32.16,29.53,102.15,1394,3064,2.05,1.52,2.06,1.92,1
9000,32.06,29.49,102.15,1016,2630,2.05,1.51,2.06,1.79,1
9500,31.96,29.46,102.15,745,2103,2.05,1.51,2.05,1.67,1
10000,31.89,29.44,102.15,655,1753,2.04,1.51,2.05,1.65,1
10500,31.83,29.47,102.15,564,1372,2.04,1.50,2.04,1.59,1
11000,31.84,29.50,102.15,568,1234,2.04,1.50,2.04,1.69,1
11500,31.87,29.56,102.15,702,1242,2.04,1.51,2.04,1.76,1
12000,31.94,29.61,102.15,1569,2090,2.05,1.51,2.05,2.00,2
12500,31.87,29.62,102.15,2737,2958,2.05,1.51,2.06,2.01,2
13000,31.87,29.68,102.15,4614,5596,2.05,1.51,2.08,2.36,2
13500,31.94,29.74,102.15,6860,8871,2.07,1.51,2.10,2.49,2
14000,32.19,29.84,102.15,5690,9929,2.08,1.52,2.12,2.53,2
14500,32.57,29.94,102.15,6755,10931,2.10,1.52,2.13,2.55,2
15000,32.92,30.02,102.15,6043,10953,2.11,1.53,2.14,2.59,2
15500,33.11,30.02,102.15,5945,11010,2.12,1.53,2.15,2.58,2
16000,33.13,29.94,102.15,7456,12349,2.12,1.53,2.15,2.52,2
16500,33.12,29.84,102.15,10346,14905,2.13,1.53,2.16,2.53,2
17000,33.36,29.76,102.15,6808,13261,2.13,1.53,2.17,2.52,2
17500,33.45,29.63,102.16,3812,8781,2.14,1.53,2.17,2.47,2
18000,33.43,29.46,102.15,4229,8477,2.13,1.53,2.17,2.45,2
18500,33.57,29.34,102.15,4803,9817,2.15,1.54,2.18,2.56,2
19000,33.87,29.23,102.15,4295,9175,2.15,1.54,2.20,2.59,2
19500,33.90,29.09,102.15,4437,8939,2.15,1.54,2.19,2.46,2
20000,34.01,28.97,102.15,3748,7903,2.15,1.54,2.20,2.49,2
20500,34.14,28.79,102.15,2862,6594,2.15,1.54,2.20,2.41,2
21000,34.29,28.66,102.15,3365,6769,2.15,1.54,2.19,2.42,2
21500,34.39,28.51,102.16,2833,6363,2.15,1.54,2.19,2.36,2
22000,34.24,28.30,102.15,2511,6062,2.14,1.53,2.19,2.23,2
22500,34.34,28.13,102.15,3966,6970,2.15,1.54,2.19,2.28,2
23000,34.65,28.02,102.15,3422,6839,2.14,1.54,2.19,2.25,2
23500,34.83,27.87,102.15,4180,7869,2.14,1.54,2.19,2.22,2
24000,35.10,27.74,102.15,5516,10188,2.16,1.54,2.20,2.45,2
24500,35.08,27.56,102.15,5551,10706,2.15,1.54,2.20,2.38,2
25000,35.21,27.39,102.15,8145,12822,2.17,1.55,2.20,2.49,2
25500,35.53,27.28,102.15,10120,15287,2.18,1.55,2.22,2.57,2
26000,35.95,27.22,102.15,10699,15929,2.19,1.56,2.22,2.57,2
26500,36.13,27.06,102.15,10016,15974,2.19,1.56,2.23,2.51,2
27000,36.33,26.85,102.15,11273,18067,2.20,1.56,2.23,2.53,2
27500,36.59,26.67,102.15,9912,16019,2.20,1.56,2.24,2.55,2
28000,36.75,26.44,102.15,10479,17126,2.20,1.56,2.24,2.49,2
28500,36.70,26.19,102.15,10607,16233,2.19,1.56,2.23,2.33,2
29000,36.93,25.94,102.15,9831,15963,2.20,1.56,2.24,2.40,2
29500,37.22,25.73,102.15,9211,15501,2.19,1.57,2.24,2.40,2
30000,37.35,25.48,102.15,8169,14488,2.19,1.56,2.23,2.36,2
30500,37.63,25.28,102.15,13641,21622,2.21,1.57,2.24,2.55,2
31000,38.23,25.16,102.15,15653,25317,2.22,1.58,2.26,2.64,2
31500,38.49,24.93,102.15,15143,25212,2.22,1.58,2.26,2.65,2
32000,38.83,24.70,102.15,14978,25770,2.23,1.59,2.27,2.65,2
32500,39.13,24.46,102.15,16935,27757,2.25,1.59,2.28,2.71,2
33000,39.40,24.22,102.15,22931,34554,2.25,1.60,2.29,2.72,2
33500,39.71,23.97,102.15,19747,31626,2.26,1.61,2.30,2.74,2
34000,40.04,23.75,102.15,21705,33718,2.27,1.61,2.31,2.75,2
34500,40.41,23.52,102.15,24172,36785,2.28,1.62,2.32,2.77,2
35000,40.78,23.26,102.16,24916,39086,2.28,1.62,2.33,2.76,2
35500,41.08,22.95,102.16,23745,37134,2.28,1.62,2.33,2.73,2
36000,41.35,22.65,102.15,26350,40375,2.29,1.63,2.33,2.73,2
36500,41.57,22.34,102.15,24420,39330,2.30,1.63,2.34,2.77,2
37000,41.70,22.06,102.16,25661,39365,2.29,1.63,2.34,2.70,2
37500,41.97,21.84,102.15,25192,39887,2.31,1.64,2.34,2.74,2
38000,42.23,21.62,102.16,18700,32149,2.30,1.64,2.34,2.62,2
38500,42.06,21.27,102.15,19472,32184,2.30,1.64,2.34,2.64,2
39000,42.34,21.01,102.16,15819,28350,2.30,1.64,2.35,2.68,2
39500,42.60,20.78,102.15,21057,33125,2.30,1.64,2.35,2.65,2
40000,43.03,20.61,102.16,23758,38040,2.31,1.65,2.36,2.74,2
40500,43.45,20.42,102.15,22394,36750,2.32,1.65,2.37,2.75,2
41000,43.58,20.15,102.16,18107,31557,2.31,1.65,2.36,2.67,2
41500,43.58,19.85,102.15,26102,38667,2.32,1.65,2.36,2.66,2
42000,43.99,19.64,102.16,26584,40898,2.33,1.66,2.38,2.77,2
42500,44.34,19.50,102.15,25454,39365,2.32,1.67,2.38,2.74,2
43000,44.72,19.31,102.15,27590,41595,2.34,1.67,2.39,2.79,2
43500,45.01,19.17,102.15,30299,43652,2.34,1.68,2.40,2.84,2
44000,45.25,19.01,102.15,34894,46510,2.35,1.69,2.42,2.86,2
44500,45.63,18.90,102.15,28473,43164,2.35,1.69,2.42,2.85,2
45000,45.92,18.76,102.16,24544,38284,2.35,1.69,2.42,2.79,2
45500,46.13,18.55,102.16,21250,34485,2.35,1.69,2.41,2.71,2
46000,46.26,18.27,102.15,24999,38423,2.35,1.70,2.42,2.74,2
46500,46.45,18.03,102.16,21002,34136,2.35,1.69,2.41,2.67,2
47000,46.24,17.70,102.16,12883,24690,2.33,1.68,2.40,2.50,2
47500,46.12,17.39,102.15,17238,29814,2.33,1.68,2.39,2.55,2
48000,46.31,17.17,102.15,22283,34589,2.33,1.68,2.39,2.58,2
48500,46.64,17.03,102.16,28266,41874,2.34,1.69,2.41,2.70,2
49000,46.96,16.91,102.15,26818,39853,2.33,1.69,2.40,2.65,2
49500,47.20,16.82,102.15,23800,37691,2.34,1.69,2.41,2.70,2
50000,47.69,16.77,102.15,34357,45953,2.36,1.71,2.43,2.77,2
50500,48.14,16.67,102.16,38892,48776,2.35,1.72,2.43,2.76,2
51000,48.17,16.44,102.16,29524,44001,2.35,1.71,2.42,2.62,2
51500,48.34,16.20,102.15,32149,44663,2.35,1.71,2.42,2.69,2
52000,48.80,16.06,102.15,39340,49229,2.36,1.72,2.43,2.72,2
52500,49.12,15.94,102.15,45008,51669,2.36,1.72,2.43,2.70,2
53000,49.42,15.82,102.15,56942,58850,2.37,1.73,2.44,2.77,2
53500,49.83,15.78,102.15,57330,60000,2.39,1.75,2.45,2.83,2
54000,50.41,15.83,102.15,52348,55713,2.39,1.75,2.45,2.80,2
54500,50.86,15.79,102.15,51781,56410,2.40,1.76,2.46,2.78,2
55000,51.15,15.59,102.15,38653,49787,2.40,1.75,2.46,2.74,2
55500,51.13,15.32,102.15,46023,53238,2.39,1.76,2.46,2.72,2
56000,51.36,15.04,102.16,42353,52087,2.40,1.76,2.46,2.74,2
56500,51.55,14.83,102.16,38743,49543,2.40,1.76,2.46,2.74,2
57000,51.64,14.55,102.15,34208,47033,2.39,1.76,2.45,2.65,2
57500,51.79,14.25,102.15,32060,44942,2.39,1.75,2.45,2.67,2
58000,52.07,14.05,102.15,37460,48915,2.39,1.76,2.46,2.70,2
58500,52.11,13.86,102.15,41667,50728,2.40,1.76,2.46,2.66,2
59000,52.09,13.66,102.15,36326,48149,2.38,1.76,2.45,2.61,2
59500,52.38,13.47,102.15,32030,44349,2.38,1.75,2.45,2.60,2
60000,52.68,13.35,102.15,39429,48602,2.39,1.76,2.45,2.67,2
60500,53.00,13.24,102.15,45187,51669,2.39,1.76,2.45,2.66,2
61000,53.56,13.27,102.15,57330,59268,2.41,1.78,2.47,2.79,2
61500,54.18,13.35,102.15,57330,60000,2.42,1.80,2.49,2.85,2
62000,54.35,13.24,102.15,43337,50623,2.41,1.79,2.48,2.72,2
62500,54.33,13.00,102.15,54317,56898,2.41,1.79,2.48,2.72,2
63000,54.47,12.82,102.15,53988,57037,2.40,1.79,2.48,2.65,2
63500,54.62,12.65,102.15,57330,60000,2.43,1.80,2.50,2.81,2
64000,54.91,12.64,102.15,57300,58885,2.42,1.80,2.49,2.72,2
64500,55.12,12.61,102.15,57330,60000,2.44,1.82,2.51,2.80,2
65000,55.43,12.54,102.15,57330,60000,2.44,1.83,2.51,2.81,2
65500,55.51,12.37,102.15,57330,60000,2.44,1.83,2.51,2.75,2
66000,55.68,12.21,102.15,57330,60000,2.45,1.84,2.52,2.80,2
66500,55.92,12.21,102.15,57330,60000,2.46,1.85,2.53,2.83,2
67000,56.29,12.21,102.15,57330,60000,2.46,1.85,2.53,2.81,2
67500,56.68,12.16,102.15,57330,60000,2.47,1.85,2.54,2.83,2
68000,57.12,12.14,102.15,51900,57665,2.46,1.85,2.54,2.81,2
68500,57.28,11.90,102.15,57330,60000,2.47,1.85,2.54,2.77,2
69000,57.52,11.66,102.15,57330,60000,2.45,1.85,2.54,2.70,2
69500,57.72,11.36,102.16,45396,53238,2.45,1.84,2.53,2.68,2
70000,57.87,11.11,102.15,40175,49996,2.45,1.84,2.52,2.63,2
70500,58.13,10.90,102.15,37311,48218,2.44,1.83,2.52,2.58,2
71000,58.23,10.66,102.15,47574,53447,2.44,1.83,2.52,2.63,2
71500,58.49,10.56,102.15,34238,47939,2.44,1.84,2.52,2.67,2
72000,58.41,10.44,102.15,27701,42850,2.44,1.83,2.51,2.60,2
72500,58.48,10.28,102.15,41995,50414,2.43,1.83,2.51,2.61,2
73000,58.40,10.05,102.15,45724,51495,2.42,1.82,2.50,2.50,2
73500,58.54,9.90,102.15,57330,59198,2.43,1.83,2.50,2.58,2
74000,59.01,9.95,102.15,57330,60000,2.44,1.84,2.52,2.68,2
74500,59.44,9.90,102.15,57330,60000,2.45,1.85,2.52,2.65,2
75000,59.88,9.91,102.15,57330,60000,2.45,1.85,2.53,2.69,2
75500,60.18,9.90,102.15,57330,60000,2.46,1.87,2.54,2.76,2
76000,60.81,9.92,102.15,57330,60000,2.48,1.89,2.55,2.82,2
76500,61.12,9.84,102.15,57330,60000,2.47,1.88,2.55,2.72,2
77000,61.00,9.56,102.14,57330,60000,2.46,1.88,2.54,2.62,2
77500,61.52,9.49,102.15,57330,60000,2.47,1.89,2.55,2.73,2
78000,61.73,9.41,102.14,57330,60000,2.48,1.90,2.55,2.75,2
78500,61.84,9.16,102.14,57330,59407,2.46,1.88,2.55,2.58,2
79000,62.03,8.95,102.15,46947,54562,2.46,1.88,2.55,2.64,2
79500,61.80,8.69,102.15,53899,56026,2.44,1.86,2.53,2.46,2
80000,61.91,8.58,102.14,57330,60000,2.45,1.88,2.54,2.63,2
80500,62.34,8.58,102.14,57330,60000,2.46,1.89,2.55,2.67,2
81000,62.45,8.50,102.14,57330,60000,2.46,1.89,2.55,2.66,2
81500,62.59,8.60,102.15,57330,60000,2.47,1.90,2.55,2.67,2
82000,62.76,8.58,102.15,57330,60000,2.47,1.90,2.55,2.64,2
82500,63.26,8.57,102.14,57330,60000,2.49,1.92,2.56,2.75,2
83000,64.18,8.80,102.14,57330,60000,2.50,1.95,2.58,2.84,2
83500,64.79,8.99,102.14,57330,60000,2.52,1.96,2.60,2.85,2
84000,65.23,9.13,102.14,57330,60000,2.53,1.98,2.61,2.86,2
84500,65.80,9.05,102.14,57330,60000,2.54,2.00,2.63,2.89,2
85000,66.13,8.87,102.14,57330,60000,2.55,2.00,2.63,2.86,2
85500,66.70,8.69,102.14,57330,60000,2.55,2.00,2.63,2.82,2
86000,66.73,8.39,102.14,57330,60000,2.54,2.00,2.62,2.76,2
86500,66.73,8.05,102.14,57330,60000,2.54,1.99,2.62,2.74,2
87000,66.91,7.88,102.14,57330,60000,2.53,1.99,2.62,2.71,2
87500,67.01,7.72,102.14,57330,60000,2.54,2.00,2.63,2.73,2
88000,67.39,7.61,102.14,57330,60000,2.54,2.01,2.63,2.75,2
88500,67.49,7.44,102.14,57330,60000,2.53,2.00,2.62,2.62,2
89000,67.66,7.20,102.14,57330,60000,2.52,1.99,2.61,2.61,2
89500,67.72,6.96,102.14,49096,55991,2.52,1.99,2.61,2.58,2
90000,67.42,6.67,102.14,47902,55050,2.49,1.96,2.58,2.39,2
90500,67.39,6.53,102.14,42353,52262,2.48,1.96,2.58,2.44,2
91000,67.67,6.53,102.14,57330,60000,2.49,1.98,2.59,2.65,2
91500,68.18,6.56,102.14,57330,60000,2.50,1.99,2.60,2.65,2
92000,68.24,6.45,102.14,54287,58257,2.49,1.99,2.60,2.55,2
92500,68.28,6.31,102.14,57330,60000,2.49,1.99,2.60,2.59,2
93000,68.77,6.45,102.14,57330,60000,2.51,2.01,2.61,2.70,2
93500,68.92,6.46,102.13,57330,60000,2.51,2.01,2.61,2.63,2
94000,69.25,6.48,102.14,57330,60000,2.52,2.02,2.61,2.69,2
94500,69.43,6.45,102.13,57330,60000,2.52,2.02,2.62,2.63,2
95000,69.62,6.34,102.13,57330,60000,2.52,2.03,2.62,2.62,2
95500,70.05,6.25,102.13,57330,60000,2.52,2.04,2.63,2.66,2
96000,70.19,6.20,102.13,57330,60000,2.53,2.05,2.64,2.68,2
96500,70.63,6.25,102.13,57330,60000,2.54,2.06,2.65,2.72,2
97000,70.95,6.18,102.13,57330,60000,2.54,2.06,2.64,2.64,2
97500,71.18,6.12,102.13,57330,60000,2.54,2.06,2.65,2.70,2
98000,71.57,6.10,102.13,57330,60000,2.55,2.07,2.65,2.70,2
98500,71.46,5.90,102.13,57330,60000,2.55,2.07,2.65,2.62,2
99000,71.76,5.79,102.13,57330,60000,2.54,2.07,2.65,2.59,2
99500,71.89,5.68,102.13,57330,60000,2.54,2.07,2.65,2.59,2
100000,71.73,5.49,102.13,57330,60000,2.54,2.08,2.65,2.63,2
100500,71.72,5.35,102.13,57330,60000,2.53,2.07,2.64,2.56,2
101000,71.96,5.34,102.13,57330,60000,2.54,2.08,2.65,2.59,2
101500,72.03,5.41,102.12,57330,60000,2.55,2.09,2.65,2.65,2
102000,71.91,5.47,102.13,57330,60000,2.55,2.11,2.66,2.67,2
102500,72.13,5.58,102.13,57330,60000,2.56,2.12,2.67,2.71,2
103000,72.31,5.56,102.12,57330,60000,2.55,2.11,2.66,2.60,2
103500,72.45,5.49,102.12,57330,60000,2.56,2.13,2.67,2.68,2
104000,72.95,5.56,102.13,57330,60000,2.56,2.14,2.68,2.70,2
104500,72.91,5.40,102.13,57330,60000,2.57,2.15,2.69,2.70,2
105000,73.36,5.45,102.12,57330,60000,2.59,2.17,2.70,2.77,2
105500,73.49,5.41,102.13,57330,60000,2.58,2.16,2.70,2.65,2
106000,73.55,5.38,102.12,57330,60000,2.59,2.17,2.70,2.60,2
106500,73.85,5.35,102.12,57330,60000,2.60,2.18,2.70,2.66,2
107000,73.88,5.22,102.12,57330,60000,2.59,2.17,2.70,2.56,2
107500,73.67,5.02,102.13,57330,60000,2.58,2.17,2.69,2.56,2
108000,73.83,4.91,102.12,57330,60000,2.58,2.17,2.69,2.53,2
108500,74.01,4.84,102.12,57330,60000,2.59,2.18,2.69,2.62,2
109000,74.17,4.85,102.12,57330,60000,2.58,2.17,2.68,2.50,2
109500,74.21,4.79,102.12,57330,60000,2.58,2.18,2.68,2.47,2
110000,74.42,4.75,102.12,57330,60000,2.58,2.18,2.70,2.60,2
110500,74.76,4.78,102.12,57330,60000,2.59,2.19,2.70,2.61,2
111000,75.15,4.87,102.11,57330,60000,2.61,2.22,2.71,2.70,2
111500,75.15,4.85,102.12,57330,60000,2.60,2.22,2.72,2.66,2
112000,75.51,4.86,102.12,57330,60000,2.60,2.22,2.72,2.58,2
112500,75.42,4.73,102.12,57330,60000,2.62,2.24,2.73,2.68,2
113000,75.72,4.72,102.11,57330,60000,2.62,2.25,2.74,2.71,2
113500,76.19,4.78,102.11,57330,60000,2.62,2.25,2.74,2.63,2
114000,76.59,4.82,102.11,57330,60000,2.65,2.28,2.75,2.75,2
114500,76.75,4.73,102.11,57330,60000,2.64,2.28,2.75,2.63,2
115000,76.93,4.60,102.11,57330,60000,2.65,2.30,2.76,2.66,2
115500,77.32,4.76,102.11,57330,60000,2.66,2.32,2.77,2.70,2
116000,77.71,4.96,102.10,57330,60000,2.68,2.33,2.78,2.76,2
116500,78.27,4.85,102.11,57330,60000,2.67,2.33,2.78,2.67,2
117000,78.06,4.56,102.11,57330,60000,2.66,2.32,2.77,2.54,2
117500,78.02,4.37,102.11,57330,60000,2.66,2.32,2.77,2.54,2
118000,78.02,4.22,102.11,57330,60000,2.65,2.33,2.77,2.51,2
118500,78.06,4.11,102.11,57330,60000,2.66,2.33,2.77,2.54,2
119000,78.10,4.01,102.11,57330,60000,2.66,2.34,2.77,2.56,2
119500,78.48,4.02,102.11,57330,60000,2.66,2.34,2.77,2.56,2
120000,78.60,3.90,102.11,57330,60000,2.65,2.34,2.77,2.45,2
120500,78.43,3.80,102.11,57330,60000,2.65,2.34,2.77,2.46,2
121000,78.42,3.78,102.12,57330,60000,2.65,2.34,2.77,2.48,2
121500,78.32,3.75,102.11,57330,60000,2.65,2.34,2.77,2.46,2
122000,78.51,3.75,102.11,57330,60000,2.65,2.35,2.77,2.51,2
122500,78.90,3.76,102.11,57330,60000,2.66,2.37,2.79,2.59,2
123000,79.29,3.86,102.10,57330,60000,2.68,2.39,2.81,2.70,2
123500,79.58,4.01,102.10,57330,60000,2.69,2.41,2.82,2.66,2
124000,80.02,3.99,102.10,57330,60000,2.70,2.41,2.82,2.56,2
124500,80.19,3.87,102.11,57330,60000,2.69,2.41,2.82,2.55,2
125000,79.97,3.67,102.11,57330,60000,2.69,2.41,2.81,2.49,2
125500,79.78,3.60,102.11,57330,60000,2.69,2.41,2.81,2.46,2
126000,79.43,3.50,102.11,57330,60000,2.68,2.40,2.80,2.37,2
126500,79.30,3.50,102.11,57330,60000,2.68,2.42,2.81,2.50,2
127000,79.54,3.52,102.10,57330,60000,2.68,2.42,2.82,2.50,2
127500,79.90,3.48,102.10,57330,60000,2.68,2.42,2.81,2.44,2
128000,80.06,3.39,102.10,57330,60000,2.68,2.42,2.82,2.42,2
128500,80.08,3.40,102.11,57330,60000,2.68,2.43,2.82,2.46,2
129000,80.01,3.43,102.10,57330,60000,2.69,2.43,2.82,2.46,2
129500,80.31,3.55,102.10,57330,60000,2.70,2.45,2.84,2.56,2
130000,80.64,3.57,102.10,57330,60000,2.70,2.45,2.84,2.53,2
130500,80.53,3.51,102.11,57330,60000,2.71,2.46,2.84,2.49,2
131000,80.04,3.44,102.11,57330,60000,2.69,2.45,2.84,2.43,2
131500,79.90,3.51,102.10,57330,60000,2.71,2.47,2.85,2.54,2
132000,80.04,3.52,102.10,57330,60000,2.71,2.47,2.85,2.45,2
132500,80.56,3.72,102.10,57330,60000,2.73,2.49,2.86,2.63,2
133000,81.32,4.13,102.10,56942,60000,2.75,2.51,2.88,2.70,2
