timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,24.48,55.44,101.89,400,0,1.54,1.00,1.48,0.82,0.89,1
500,24.65,55.45,101.89,400,0,1.54,1.00,1.48,0.82,0.89,1
1000,24.92,55.45,101.89,402,0,1.54,1.00,1.48,0.82,0.89,1
1500,25.08,55.39,101.89,406,0,1.54,1.00,1.48,0.82,0.89,1
2000,25.17,55.26,101.90,406,0,1.54,1.00,1.48,0.82,0.89,1
2500,25.23,55.12,101.90,400,4,1.54,1.00,1.48,0.82,0.89,1
3000,25.27,54.98,101.90,417,6,1.54,1.00,1.48,0.82,0.89,1
3500,25.32,54.82,101.89,418,4,1.54,1.00,1.48,0.82,0.89,1
4000,25.34,54.70,101.89,423,12,1.55,1.00,1.48,0.84,0.91,1
4500,25.38,54.59,101.89,479,24,1.55,1.00,1.49,0.92,0.92,1
5000,25.41,54.52,101.89,560,52,1.55,1.01,1.49,0.96,0.92,1
5500,25.45,54.49,101.90,631,83,1.56,1.01,1.50,1.00,0.92,1
6000,25.47,54.46,101.90,660,110,1.56,1.01,1.51,1.03,0.93,1
6500,25.50,54.45,101.89,677,135,1.56,1.01,1.51,1.02,0.94,1
7000,25.53,54.46,101.90,653,156,1.57,1.01,1.51,1.02,0.94,1
7500,25.56,54.47,101.89,627,168,1.56,1.01,1.52,1.00,0.94,1
8000,25.64,54.49,101.89,585,173,1.57,1.01,1.52,0.98,0.93,2
8500,25.67,54.52,101.90,556,171,1.56,1.01,1.51,0.95,0.94,2
9000,25.69,54.50,101.90,543,176,1.56,1.01,1.51,0.93,0.94,2
9500,25.70,54.44,101.90,494,175,1.56,1.01,1.51,0.90,0.94,2
10000,25.70,54.35,101.90,465,169,1.55,1.01,1.51,0.88,0.94,2
10500,25.71,54.20,101.89,458,167,1.56,1.01,1.51,0.88,0.98,2
11000,25.82,54.08,101.89,476,159,1.56,1.01,1.51,0.92,1.00,2
11500,25.98,54.02,101.90,525,177,1.57,1.01,1.52,1.00,1.02,2
12000,26.26,53.97,101.89,620,197,1.58,1.02,1.53,1.10,1.05,2
12500,26.43,53.93,101.89,610,208,1.59,1.03,1.54,1.09,1.06,2
13000,26.64,53.89,101.89,608,224,1.59,1.03,1.55,1.07,1.06,2
13500,26.86,53.79,101.89,593,226,1.59,1.04,1.55,1.08,1.05,2
14000,27.18,53.73,101.90,610,237,1.60,1.05,1.56,1.11,1.08,2
14500,27.56,53.63,101.90,713,271,1.62,1.06,1.57,1.19,1.10,2
15000,27.89,53.48,101.89,769,342,1.63,1.07,1.59,1.20,1.09,2
15500,28.08,53.25,101.90,781,398,1.63,1.08,1.60,1.17,1.08,2
16000,28.34,52.97,101.89,795,448,1.65,1.09,1.61,1.23,1.07,2
16500,28.47,52.62,101.90,799,497,1.65,1.10,1.62,1.20,1.05,2
17000,28.55,52.21,101.89,788,530,1.65,1.11,1.63,1.18,1.04,2
17500,28.69,51.77,101.89,743,553,1.66,1.12,1.64,1.17,1.04,2
18000,28.77,51.34,101.89,681,549,1.66,1.13,1.65,1.12,1.04,2
18500,28.85,50.87,101.89,675,565,1.67,1.14,1.65,1.09,1.04,2
19000,28.92,50.45,101.90,639,559,1.67,1.14,1.65,1.06,1.05,2
19500,29.17,50.07,101.90,650,574,1.68,1.15,1.66,1.12,1.07,2
20000,29.57,49.74,101.90,701,611,1.69,1.16,1.68,1.20,1.07,2
20500,29.96,49.39,101.90,720,627,1.70,1.18,1.69,1.20,1.08,2
21000,30.23,49.00,101.89,699,657,1.71,1.19,1.71,1.20,1.09,2
21500,30.38,48.56,101.90,812,767,1.72,1.20,1.72,1.25,1.12,2
22000,30.56,48.15,101.89,848,859,1.73,1.21,1.73,1.28,1.13,2
22500,30.70,47.70,101.89,839,915,1.74,1.22,1.74,1.27,1.15,2
23000,31.14,47.32,101.89,1018,1035,1.75,1.23,1.76,1.41,1.15,2
23500,31.31,46.94,101.90,975,1123,1.76,1.24,1.77,1.33,1.18,2
24000,31.85,46.54,101.89,1036,1201,1.77,1.25,1.79,1.41,1.18,2
24500,32.22,46.11,101.90,969,1275,1.77,1.25,1.80,1.39,1.13,2
25000,32.05,45.57,101.90,772,1234,1.77,1.25,1.80,1.23,1.11,2
25500,31.89,44.99,101.90,680,1179,1.76,1.25,1.79,1.14,1.09,2
26000,31.85,44.44,101.90,619,1135,1.76,1.24,1.79,1.09,1.07,2
26500,31.66,43.94,101.90,565,1054,1.75,1.23,1.77,1.03,1.06,2
27000,31.62,43.50,101.90,524,992,1.75,1.23,1.77,1.00,1.06,2
27500,31.52,43.12,101.90,493,921,1.75,1.21,1.76,0.96,1.05,2
28000,31.41,42.79,101.90,489,865,1.74,1.21,1.75,0.96,1.06,2
28500,31.47,42.52,101.90,561,866,1.74,1.20,1.76,1.03,1.07,2
29000,31.57,42.33,101.90,578,830,1.75,1.20,1.75,1.06,1.08,2
29500,31.60,42.16,101.90,573,822,1.74,1.20,1.75,1.04,1.10,2
30000,31.71,42.03,101.90,629,828,1.74,1.20,1.75,1.06,1.13,2
30500,31.75,41.90,101.90,694,864,1.75,1.20,1.75,1.09,1.17,2
31000,32.02,41.81,101.90,790,927,1.75,1.20,1.76,1.18,1.19,2
31500,32.31,41.74,101.90,858,1009,1.76,1.21,1.77,1.31,1.23,2
32000,32.87,41.70,101.90,1262,1226,1.78,1.22,1.79,1.51,1.24,2
32500,33.40,41.63,101.89,1491,1533,1.78,1.23,1.80,1.45,1.25,2
33000,33.60,41.42,101.90,1216,1642,1.78,1.23,1.81,1.36,1.28,2
33500,33.85,41.15,101.89,1021,1646,1.79,1.24,1.81,1.33,1.30,2
34000,34.16,40.86,101.90,983,1732,1.79,1.24,1.82,1.35,1.27,2
34500,34.58,40.55,101.90,1113,1896,1.81,1.25,1.82,1.39,1.30,2
